metric,value
run_number,2
run_label,run_0002_20260603_113455
started_at,2026-06-03T11:34:55
completed_at,2026-06-03T11:35:04
config_batch_size,8
config_dropout,0.1
config_epochs,140
config_hidden_dim,32
config_learning_rate,0.0015
config_model_name,gcn
config_num_layers,3
config_patience,25
config_seed,73
config_split_random_state,42
config_weight_decay,0.0
epochs_trained,91
best_epoch,66
best_val_loss,0.0021689090062864125
test_loss,0.007736295694485307
test_mse,0.007648320868611336
test_mae,0.07357113808393478
test_rmse,0.08745467894064522
test_r2,-0.05760681629180908
