Dataset,Transform,Sample_Count,Mean_Signed_Prediction_Change,Mean_Absolute_Prediction_Change,Median_Absolute_Prediction_Change,Max_Absolute_Prediction_Change,Mirror_Change_RMSE,Mean_Relative_Prediction_Change_Percent,Numerically_Unchanged_Count_At_1e_8,Original_RMSE,Transformed_RMSE,Transformed_R2,Mean_Change_As_Percent_Of_Original_RMSE
Test,original,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.002840848161755468,0.002840848161755468,0.9528494150260262,0.0
Test,mirror_x,100,1.1102515105449007e-05,0.0003924604597777944,0.0003074515610933283,0.0017779674381017685,0.0005381565856901806,3.8513816300352617,0,0.002840848161755468,0.00279407583715311,0.954389228299253,13.814904473292167
Test,mirror_y,100,-0.00010152964305598296,0.0004526385096833109,0.00031299563124775713,0.001550023071467876,0.0005934518484948124,4.54696516342138,0,0.002840848161755468,0.002729304548584846,0.9564793834825293,15.933217261552212
Test,mirror_xy,100,-0.00010882466501061557,0.0005682955091397164,0.000391858071088793,0.0019760787487030033,0.0007633109555729871,5.0124238325592305,0,0.002840848161755468,0.002759711812828078,0.955504252591652,20.004430957990554
Prediction,original,13,0.0,0.0,0.0,0.0,0.0,0.0,13,0.003107742218518368,0.003107742218518368,0.40236452950785606,0.0
Prediction,mirror_x,13,-3.173371347097234e-05,0.00028625185099932007,0.00018201842904091298,0.0007343269884586313,0.00034716106823308495,0.888065497082009,0,0.003107742218518368,0.0030687282125224803,0.41727554780664655,9.210926482048826
Prediction,mirror_y,13,-3.188561934690942e-06,0.00019641616023503866,0.00012482181191444258,0.0005632303655147552,0.0002556818453727826,0.6033789933461059,0,0.003107742218518368,0.0030648125471811434,0.41876169974706756,6.320220482401563
Prediction,mirror_xy,13,-0.00010640334624510587,0.00031193030568269636,0.00024134889245033125,0.0011409360915422447,0.0004456378933466813,0.9836557672809343,0,0.003107742218518368,0.0032866610683356294,0.33156954174958075,10.0372001198803
