Run,Optimizer,Strategy,Learning_Rate,LR_Phase1,LR_Phase2,Weight_Decay,Momentum,Nesterov,Hidden_Dim,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2
adam_control,adam,two_phase,,0.003,0.0005,1e-05,0.0,False,24,900,2.5884974747896193e-05,0.005087727792744027,0.0038413172587752342,0.8347424268722534,0.0038958784106282317,0.0030691020656377077,0.9113248586654663,0.0030254755172730826,0.002533303340896964,0.4335864186286926
adamw_two_phase,adamw,two_phase,,0.003,0.0005,1e-05,0.0,False,24,900,7.675581466173753e-05,0.008761039239150406,0.007319718133658171,0.5099674463272095,0.008717214281875968,0.007404129020869732,0.5560373067855835,0.008408431307313793,0.007543857675045729,-3.3749828338623047
sgd_momentum_lr_0p020,sgd,plateau,0.02,0.003,0.0005,1e-05,0.9,False,24,660,0.00013601670681964606,0.011662620740456002,0.010082555003464222,0.13162761926651,0.012116059234115554,0.010834582149982452,0.14234262704849243,0.011822561067973044,0.011199659667909145,-7.64907169342041
sgd_nesterov_lr_0p020,sgd,plateau,0.02,0.003,0.0005,1e-05,0.9,True,24,591,0.00013650839682668447,0.011683681040128175,0.010205637663602829,0.12848860025405884,0.012360993061702076,0.011151614598929882,0.10731595754623413,0.013320241170004205,0.012753105722367764,-9.979195594787598
sgd_momentum_lr_0p010,sgd,plateau,0.01,0.003,0.0005,1e-05,0.9,False,24,796,0.00013941925251856446,0.011807592953452082,0.010268607176840305,0.10990482568740845,0.012386615139964903,0.01112917810678482,0.10361140966415405,0.01268760167300482,0.012088094837963581,-8.961057662963867
sgd_nesterov_lr_0p010,sgd,plateau,0.01,0.003,0.0005,1e-05,0.9,True,24,702,0.0001404084518435411,0.011849407641220095,0.01038124319165945,0.10358947515487671,0.012601000042647248,0.011379149742424488,0.07231384515762329,0.013979806898980237,0.013441466726362705,-11.09340763092041
sgd_momentum_lr_0p005,sgd,plateau,0.005,0.003,0.0005,1e-05,0.9,False,24,792,0.00014404240500880404,0.012001766320940572,0.010492866858839989,0.08038932085037231,0.012676098960816817,0.011433925479650497,0.06122332811355591,0.013802467726394494,0.013272895477712154,-10.788535118103027
sgd_nesterov_lr_0p005,sgd,plateau,0.005,0.003,0.0005,1e-05,0.9,True,24,549,0.00014676219288958236,0.012114545224081095,0.01055010873824358,0.06302517652511597,0.012725947285759624,0.011454528197646141,0.053825438022613525,0.013915541916865733,0.013417650945484638,-10.982477188110352
