node_id,x,y
0,0.0,0.0
1,0.0,31.283454
2,0.0,59.986005
3,0.0,110.12492
4,0.0,129.326401
5,0.0,179.799314
6,0.0,203.472106
7,0.0,240.374432
8,0.0,284.045991
9,0.0,313.726968
10,0.0,346.410162
11,23.742845,77.154015
12,24.78965,262.907732
13,24.9318,46.801395
14,25.68882,363.73067
15,26.021538,112.505726
16,26.705507,295.413956
17,28.160356,163.225559
18,33.62435,228.101138
19,33.825053,338.089103
20,37.812299,194.568739
21,38.793173,17.320508
22,51.728155,0.0
23,51.885599,346.410162
24,53.223811,271.943483
25,54.058131,306.257319
26,54.728451,101.478348
27,56.348906,200.979701
28,58.836868,166.377097
29,60.416005,78.276338
30,60.439777,39.312175
31,62.348293,246.645819
32,63.434105,134.658073
33,80.651944,363.73067
34,81.606164,338.394063
35,86.071294,184.373234
36,88.062834,294.21628
37,88.405589,90.05076
38,89.151261,120.609455
39,89.29304,45.731371
40,89.564935,215.905605
41,91.070774,17.320508
42,91.739826,267.214928
43,92.041824,163.70462
44,111.203096,173.348609
45,114.237371,242.697342
46,114.454499,73.345658
47,117.741316,133.12828
48,117.809172,346.410162
49,117.930677,36.547596
50,118.547045,302.598782
51,120.428955,209.986593
52,121.007694,282.56038
53,124.55969,0.0
54,126.249648,98.90172
55,142.497521,17.320508
56,146.594119,285.796168
57,147.311463,363.73067
58,147.440637,228.7003
59,150.482012,323.444737
60,151.153843,194.226238
61,153.820914,128.897784
62,154.385855,91.098096
63,155.063392,252.306714
64,156.349175,52.541045
65,158.905506,150.461368
66,173.459526,135.808699
67,177.022817,181.014457
68,177.793117,36.264513
69,180.630453,302.503732
70,182.728839,70.503603
71,183.324177,240.106188
72,183.784937,284.890164
73,185.055494,204.416097
74,185.155467,0.0
75,185.158041,346.410162
76,186.338705,109.548336
77,203.01234,327.366664
78,205.472516,251.059274
79,206.808515,289.124393
80,207.329927,17.320508
81,209.519599,122.668465
82,210.469526,87.243728
83,210.88652,230.825883
84,214.78652,192.220107
85,217.759173,53.929319
86,218.448179,161.67453
87,219.07131,363.73067
88,230.825554,283.013162
89,232.077601,215.208195
90,235.501817,346.410162
91,238.223278,312.091438
92,239.469365,107.716311
93,242.229272,164.506222
94,242.335452,0.0
95,242.343728,249.237099
96,243.204496,34.791608
97,247.36786,69.343795
98,249.267658,146.774232
99,261.349129,256.52078
100,261.777577,363.73067
101,262.826239,220.002889
102,264.716887,289.633136
103,269.499291,117.214271
104,269.826,17.320508
105,270.325754,190.645069
106,271.186525,79.338147
107,272.233578,331.330881
108,275.162283,51.548298
109,278.031011,149.407972
110,300.0,0.0
111,300.0,31.786371
112,300.0,64.142063
113,300.0,103.189107
114,300.0,129.525416
115,300.0,174.229356
116,300.0,216.412003
117,300.0,250.445083
118,300.0,282.505406
119,300.0,320.151042
120,300.0,346.410162
