field,value
search_number,1
search_label,search_0001_20260603_113140
started_at,2026-06-03T11:31:40
completed_at,2026-06-03T11:35:05
trial_count,12
selection_metric,best_val_loss
selected_trial_label,trial_03
selected_trial_best_val_loss,0.0021689090062864125
selected_trial_test_mse,0.007648320868611336
promoted_run_label,run_0002_20260603_113455
promoted_run_dir,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\runs\run_0002_20260603_113455
