Dataset,Stiffness_Bin,Target_Min,Target_Max,Count,MAE,RMSE,Bias,R2,Mean_Ensemble_Std
Prediction,Q3,0.0278264483436942,0.0298009671270847,10,0.0033128173835575694,0.0033307090033145893,-0.0002744923718273444,-10.3817969701963,0.0004243556477225849
Prediction,Q4,0.034637825191021,0.034637825191021,5,0.0006426177918911341,0.0006601047376146719,-0.0006426177918911341,,0.0004750344484205209
Prediction,Q5,0.0364594422280788,0.0427577152848244,50,0.0025515104141086414,0.0030214753437105596,-0.0022571992818266177,-1.1672886423090882,0.0003842357771981442
Test,Q1,3.28138928998337e-06,0.01148183400709,91,0.002488348209066385,0.003008029598928881,0.0017612668457318802,0.23844677468294428,0.0005473215245876736
Test,Q2,0.0115397850760946,0.0221372571645018,103,0.002689304509452379,0.003316799085072668,9.471235622179475e-05,-0.3955011927673511,0.00046683762990453376
Test,Q3,0.0221627316709149,0.0320388097316027,99,0.00281376552517468,0.0034292672431345786,-0.00017253324310936141,-0.5334661022615947,0.0004313556621981898
Test,Q4,0.0321397732943296,0.0363332945853472,98,0.0016778848002944882,0.0020241755787457497,0.00037559616618818747,-1.72930459849659,0.0003942436302750297
Test,Q5,0.0364261426031589,0.0441122628748417,109,0.0019379724032296398,0.0024432952019174566,-0.001163522247383069,-0.8258844408183366,0.00038229941233360336
