Split_Seed,Comparison,Feature,Train_Mean,Comparison_Mean,Standardized_Mean_Difference,Absolute_Standardized_Mean_Difference,Normalized_Wasserstein,KS_Statistic
11,Test_vs_Train,Randomness_Value,0.49930237499999996,0.499394,0.0003143759011824919,0.0003143759011824919,0.058892942525041236,0.05625
11,Test_vs_Train,Actual_Stiffness,0.024766807147771033,0.024709542874317106,-0.004624281937783137,0.004624281937783137,0.06080410651067983,0.06625
11,Test_vs_Train,Node_Count,120.81875,120.81,-0.01801546685123455,0.01801546685123455,0.08493005801304011,0.02
11,Test_vs_Train,Edge_Count,277.21125,277.28,0.0033896965073692263,0.0033896965073692263,0.06576011224299563,0.0475
11,Test_vs_Train,Graph_Density,0.03828797734361705,0.03830176236847134,0.005192166344101053,0.005192166344101053,0.07442555955445708,0.05
11,Test_vs_Train,Total_Edge_Weight,277.21125,277.28,0.0033896965073692263,0.0033896965073692263,0.06576011224299563,0.0475
11,Test_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
11,Test_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
11,Test_vs_Train,Mean_Degree,4.588215681314469,4.589601256847382,0.0042413503710115865,0.0042413503710115865,0.06924845001919246,0.0475
11,Test_vs_Train,Std_Degree,1.3491741450130939,1.3398251855373382,-0.12410552203069508,0.12410552203069508,0.15649590192911378,0.0925
11,Test_vs_Train,Mean_Weighted_Degree,4.588215681314469,4.589601256847382,0.0042413503710115865,0.0042413503710115865,0.06924845001919246,0.0475
11,Test_vs_Train,Std_Weighted_Degree,1.3491741450130939,1.3398251855373382,-0.12410552203069508,0.12410552203069508,0.15649590192911378,0.0925
11,Test_vs_Train,Mean_Center_Distance,136.12914497375488,136.14006454467773,0.019096898484064127,0.019096898484064127,0.11265262083600827,0.0975
11,Test_vs_Train,Std_Center_Distance,50.904987478256224,50.96951251983643,0.1280716542028516,0.1280716542028516,0.1505679411850289,0.0925
11,Prediction_vs_Train,Randomness_Value,0.49930237499999996,0.2341769230769231,-0.9096758840348891,0.9096758840348891,0.9098088397366173,0.49625
11,Prediction_vs_Train,Actual_Stiffness,0.024766807147771033,0.03681883914396167,0.9732419624324493,0.9732419624324493,0.9735485872879577,0.5654807692307692
11,Prediction_vs_Train,Node_Count,120.81875,121.0,0.3731775276330668,0.3731775276330668,0.37317752763305506,0.145
11,Prediction_vs_Train,Edge_Count,277.21125,293.61538461538464,0.8088005499958038,0.8088005499958038,0.8108959987458139,0.4593269230769231
11,Prediction_vs_Train,Graph_Density,0.03828797734361705,0.04044289044289044,0.8116537610035405,0.8116537610035405,0.8138586836273816,0.4593269230769231
11,Prediction_vs_Train,Total_Edge_Weight,277.21125,293.61538461538464,0.8088005499958038,0.8088005499958038,0.8108959987458139,0.4593269230769231
