Sample_ID,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
randomness_0.0000,0.0,0.0423730835318565,121.0,305.0,0.04201101928374656,305.0,1.0,0.0,5.041322231292725,1.2358067035675049,5.041322231292725,1.2358067035675049,135.9774627685547,50.838069915771484
randomness_0.0010,0.001,0.0389990672469139,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.2081388235092163,4.859504222869873,1.2081388235092163,135.97793579101562,50.83683395385742
randomness_0.0020,0.002,0.028625738248229,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.3112659454345703,4.760330677032471,1.3112659454345703,135.97900390625,50.83882522583008
randomness_0.0030,0.003,0.0398790046572685,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2662172317504883,4.909090995788574,1.2662172317504883,135.98011779785156,50.83869934082031
randomness_0.0040,0.004,0.0346378531306982,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.3340901136398315,4.826446056365967,1.3340901136398315,135.9749298095703,50.83728790283203
randomness_0.0050,0.005,0.0354644667822868,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.4488525390625,4.909090995788574,1.4488525390625,135.97816467285156,50.83835983276367
randomness_0.0060,0.006,0.0345550399273634,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.317397952079773,4.909090995788574,1.317397952079773,135.97280883789062,50.837242126464844
randomness_0.0070,0.007,0.0353983953595161,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.336085319519043,4.909090995788574,1.336085319519043,135.9758758544922,50.8465690612793
randomness_0.0080,0.008,0.0330853592604399,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.3503230810165405,4.809917449951172,1.3503230810165405,135.9744110107422,50.843204498291016
randomness_0.0090,0.009,0.0335037726908922,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.37885320186615,4.760330677032471,1.37885320186615,135.9716339111328,50.84496307373047
randomness_0.0100,0.01,0.0405168622732162,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.3209702968597412,4.876032829284668,1.3209702968597412,135.9777374267578,50.8324089050293
randomness_0.0110,0.011,0.0357772849500179,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.3209702968597412,4.876032829284668,1.3209702968597412,135.9658660888672,50.84069061279297
randomness_0.0120,0.012,0.0394698426127434,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.366713285446167,4.84297513961792,1.366713285446167,135.9700469970703,50.834449768066406
randomness_0.0130,0.013,0.0415955953299999,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2984415292739868,4.909090995788574,1.2984415292739868,135.97755432128906,50.84206771850586
randomness_0.0140,0.014,0.0345942163839936,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.321642518043518,4.826446056365967,1.321642518043518,135.97303771972656,50.83855056762695
randomness_0.0150,0.015,0.0292893473058939,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.3015412092208862,4.776859283447266,1.3015412092208862,135.97909545898438,50.825904846191406
randomness_0.0160,0.016,0.0337966392437011,121.0,290.0,0.03994490358126722,290.0,1.0,0.0,4.793388366699219,1.4195644855499268,4.793388366699219,1.4195644855499268,135.9678955078125,50.848052978515625
randomness_0.0170,0.017,0.0380104511976242,121.0,305.0,0.04201101928374656,305.0,1.0,0.0,5.041322231292725,1.3261308670043945,5.041322231292725,1.3261308670043945,135.977294921875,50.82828903198242
randomness_0.0180,0.018,0.0368641018867493,121.0,303.0,0.04173553719008265,303.0,1.0,0.0,5.008264541625977,1.3205050230026245,5.008264541625977,1.3205050230026245,135.96963500976562,50.86444854736328
randomness_0.0190,0.019,0.0351530600339174,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3003864288330078,4.859504222869873,1.3003864288330078,136.01060485839844,50.822654724121094
randomness_0.0200,0.02,0.0411534711718559,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.1606202125549316,4.991735458374023,1.1606202125549316,135.9829559326172,50.82929611206055
randomness_0.0210,0.021,0.031226472184062,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.3525469303131104,4.826446056365967,1.3525469303131104,135.9636688232422,50.825218200683594
randomness_0.0220,0.022,0.0404299281537533,121.0,301.0,0.04146005509641873,301.0,1.0,0.0,4.97520637512207,1.3874455690383911,4.97520637512207,1.3874455690383911,135.9725341796875,50.81306838989258
randomness_0.0230,0.023,0.0391004271805286,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.4123287200927734,4.826446056365967,1.4123287200927734,135.9630889892578,50.83571243286133
randomness_0.0240,0.024,0.0387919247150421,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3983802795410156,4.859504222869873,1.3983802795410156,135.9665069580078,50.852298736572266
randomness_0.0250,0.025,0.0411754429340363,121.0,305.0,0.04201101928374656,305.0,1.0,0.0,5.041322231292725,1.2019041776657104,5.041322231292725,1.2019041776657104,135.9885711669922,50.82955551147461
randomness_0.0260,0.026,0.0350423581898212,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2264306545257568,4.909090995788574,1.2264306545257568,135.9590301513672,50.84021759033203
randomness_0.0270,0.027,0.0310798838734627,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.3756295442581177,4.776859283447266,1.3756295442581177,135.95640563964844,50.8260383605957
randomness_0.0280,0.028,0.0409685172140598,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.195693850517273,4.991735458374023,1.195693850517273,135.96731567382812,50.87333297729492
randomness_0.0290,0.029,0.0370265264064074,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.3073011636734009,4.958677768707275,1.3073011636734009,135.9619903564453,50.80378723144531
randomness_0.0300,0.03,0.0414497714489698,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.3624086380004883,4.942148685455322,1.3624086380004883,135.9647979736328,50.88461685180664
randomness_0.0310,0.031,0.039685270562768,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.3161530494689941,4.892561912536621,1.3161530494689941,135.98358154296875,50.81941223144531
randomness_0.0320,0.032,0.0321397732943296,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.3390978574752808,4.776859283447266,1.3390978574752808,135.9979248046875,50.83145523071289
randomness_0.0330,0.033,0.0376963451504707,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.349412441253662,4.925619602203369,1.349412441253662,135.9501495361328,50.8753662109375
randomness_0.0340,0.034,0.0372296843677759,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3606529235839844,4.84297513961792,1.3606529235839844,135.98851013183594,50.790122985839844
randomness_0.0350,0.035,0.042989894002676,121.0,301.0,0.04146005509641873,301.0,1.0,0.0,4.97520637512207,1.326542854309082,4.97520637512207,1.326542854309082,135.90846252441406,50.846492767333984
randomness_0.0360,0.036,0.0371465571224689,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.3924086093902588,4.942148685455322,1.3924086093902588,135.99334716796875,50.81681442260742
randomness_0.0370,0.037,0.035187853127718,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.3278809785842896,4.826446056365967,1.3278809785842896,136.04434204101562,50.8275032043457
