Metric,mean,std,min,max
Validation_R2,0.9405958771705627,0.008778901609059505,0.930031955242157,0.9531997442245483
Test_R2,0.944024670124054,0.00800609175717,0.9338091611862183,0.9537436962127686
Test_RMSE,0.0029264223959571877,0.00018928618678598286,0.0027601908265230614,0.0032443027492968252
Prediction_R2,0.47241748571395875,0.09251220902167459,0.3480340242385864,0.6032335758209229
Prediction_RMSE,0.002910702440661748,0.0002592922651948662,0.002532178348440345,0.003245930952444127
