metric,value
run_number,7
run_label,trial_07
started_at,2026-06-03T11:34:00
completed_at,2026-06-03T11:34:12
config_batch_size,8
config_dropout,0.1
config_epochs,140
config_hidden_dim,64
config_learning_rate,0.0005
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,73
config_split_random_state,42
config_weight_decay,0.0001
epochs_trained,86
best_epoch,61
best_val_loss,0.002179545001126826
test_loss,0.00739440112374723
test_mse,0.0072974469512701035
test_mae,0.07067423313856125
test_rmse,0.08542509555903408
test_r2,-0.00908803939819336
