field,value
run_number,7
run_label,trial_07
started_at,2026-06-03T11:34:00
completed_at,2026-06-03T11:34:12
epochs_trained,86
best_epoch,61
best_val_loss,0.002179545001126826
model_path,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_07\best_model.pt
config_batch_size,8
config_dropout,0.1
config_epochs,140
config_hidden_dim,64
config_learning_rate,0.0005
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,73
config_split_random_state,42
config_weight_decay,0.0001
