Architecture,Architecture_Key,Seed,Input_Dim,Graph_Feature_Dim,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2,Output_Dir
GCN-3 Residual,gcn3_residual,11,9,12,900,0.058790046721696854,0.003002557523080769,0.0024038339033722878,0.9366090893745422,0.0029629072534115607,0.002387336455285549,0.9386486411094666,0.0029862191147692735,0.002572357654571533,0.4481898546218872,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_residual_multi_seed/run_20260702_123511/per_model/gcn3_residual/run_20260702_125211
GCN-3 Residual,gcn3_residual,42,9,12,900,0.0647798302769661,0.003093194093789224,0.0025017624720931053,0.9389159083366394,0.0028012924571887807,0.002135256305336952,0.954153299331665,0.002998345377480261,0.002584506291896105,0.4436992406845093,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_residual_multi_seed/run_20260702_123511/per_model/gcn3_residual/run_20260702_130808
GCN-3 Residual,gcn3_residual,73,9,12,900,0.05491830080747604,0.002890589999427203,0.002455011708661914,0.9444174766540527,0.002915171333887128,0.0023097344674170017,0.9410911202430725,0.002767218772797732,0.002155190333724022,0.5261582136154175,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_residual_multi_seed/run_20260702_123511/per_model/gcn3_residual/run_20260702_132357
GCN-3 Residual,gcn3_residual,101,9,12,900,0.05677015870809555,0.0028874573211103696,0.002264217473566532,0.9529933333396912,0.0027015214984345433,0.0021436030510812998,0.9523111581802368,0.0026588359556254477,0.002188274171203375,0.5625489950180054,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_residual_multi_seed/run_20260702_123511/per_model/gcn3_residual/run_20260702_133931
GCN-3 Residual,gcn3_residual,202,9,12,900,0.06356238335371017,0.0031000890788959886,0.0025614730548113585,0.9328203201293945,0.0034371667356731194,0.002782145980745554,0.9257055521011353,0.002776510377876121,0.0024095771368592978,0.5229707956314087,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_residual_multi_seed/run_20260702_123511/per_model/gcn3_residual/run_20260702_135509
