Metric,mean,std,min,max
Validation_R2,0.941151225566864,0.007841166086514358,0.9328203201293945,0.9529933333396912
Test_R2,0.9423819541931152,0.011520198824122469,0.9257055521011353,0.954153299331665
Test_RMSE,0.0029636118557190266,0.00028356663567353195,0.0027015214984345433,0.0034371667356731194
Prediction_R2,0.5007134199142456,0.052382745711216795,0.4436992406845093,0.5625489950180054
Prediction_RMSE,0.002837425919709767,0.00014880239310174025,0.0026588359556254477,0.002998345377480261
