metric,value
run_number,8
run_label,trial_08
started_at,2026-06-03T11:34:12
completed_at,2026-06-03T11:34:24
config_batch_size,16
config_dropout,0.05
config_epochs,140
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,25
config_seed,11
config_split_random_state,42
config_weight_decay,0.0001
epochs_trained,140
best_epoch,129
best_val_loss,0.0022216441575437784
test_loss,0.007259326986968517
test_mse,0.007259327452629805
test_mae,0.0704316720366478
test_rmse,0.08520168691187871
test_r2,-0.003816962242126465
