Architecture,Architecture_Key,Seed,Split_Seed,Input_Dim,Graph_Feature_Dim,Loss_Name,Huber_Beta,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2,Output_Dir
GCN-3,gcn3,11,42,9,12,mse,0.75,900,0.064570854306221,0.003088200947097383,0.0024100227747112513,0.9391129612922668,0.002749300892515796,0.002167295664548874,0.9558393359184265,0.003125784796837849,0.002598345512524247,0.3954050540924072,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_fixed_split/run_20260708_123902/per_model/gcn3/run_20260708_124737
GCN-3,gcn3,42,42,9,12,mse,0.75,900,0.0645851218700409,0.0030885419665891665,0.0024813958443701267,0.9390995502471924,0.00277342182723968,0.0021783318370580673,0.9550610780715942,0.0029856812063793286,0.0024558466393500566,0.44838857650756836,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_fixed_split/run_20260708_123902/per_model/gcn3/run_20260708_125632
GCN-3,gcn3,73,42,9,12,mse,0.75,900,0.06528719514608383,0.003105283659878823,0.0024199923500418663,0.9384375214576721,0.002830791812345766,0.00223149242810905,0.9531826376914978,0.0030022682332743918,0.002521481132134795,0.4422426223754883,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_fixed_split/run_20260708_123902/per_model/gcn3/run_20260708_130522
GCN-3,gcn3,101,42,9,12,mse,0.75,900,0.06468726694583893,0.0030909835145128467,0.0023951614275574684,0.9390032291412354,0.0027645603839835404,0.002213049214333296,0.9553477764129639,0.002872164173294516,0.0023837732151150703,0.4895362854003906,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_fixed_split/run_20260708_123902/per_model/gcn3/run_20260708_131413
GCN-3,gcn3,202,42,9,12,mse,0.75,900,0.06486626476049423,0.00309525706185792,0.002448473358526826,0.9388344287872314,0.0027995479508523533,0.0022126869298517704,0.9542104005813599,0.0031707162686142273,0.0027354469057172537,0.3778986930847168,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_fixed_split/run_20260708_123902/per_model/gcn3/run_20260708_132314
