Variant,Metric,mean,std,min,max
control,Validation_R2,0.9472614884376526,0.0013942993616598166,0.9449783563613892,0.9484363794326782
control,Validation_RMSE,0.002709874775669199,3.5633699824118356e-05,0.0026797049383584038,0.0027681027470127847
control,Validation_MAE,0.002184355864301324,5.48735557301802e-05,0.0021253416780382395,0.0022706137970089912
control,Validation_Bias,5.893554771319032e-05,0.0002014768924427775,-0.00018829372129403055,0.00021143675257917494
control,OOD_Holdout_R2,0.34123404026031495,0.0186321441152796,0.3099997043609619,0.35701239109039307
control,OOD_Holdout_RMSE,0.002486768083013757,3.494199506078737e-05,0.0024570008938314047,0.0025452394590656
control,OOD_Holdout_MAE,0.002109190169721842,2.027498187922341e-05,0.0020799082703888416,0.002133046742528677
control,OOD_Holdout_Bias,9.284049374400639e-05,0.0003173099736293894,-0.0003269183507654816,0.0005637332214973867
control,Prediction_R2,0.44103126525878905,0.07486318421527935,0.3437459468841553,0.523021399974823
control,Prediction_RMSE,0.0030001987458371814,0.00019999259413981644,0.002776363132358032,0.003256587919563515
control,Prediction_MAE,0.0025334205478429795,0.00023366643272230706,0.002225116826593876,0.0028499572072178125
control,Prediction_Bias,-0.001858404721133411,0.0003203536870395728,-0.002324154833331704,-0.0014317028690129519
domain_weighted,Validation_R2,0.9485252618789672,0.0015711308091624716,0.9463551640510559,0.9505460262298584
domain_weighted,Validation_RMSE,0.002677146087783693,4.083053252869364e-05,0.002624314877425128,0.0027332503896396803
domain_weighted,Validation_MAE,0.0021652095019817352,2.7832486565706058e-05,0.0021384870633482933,0.002201874740421772
domain_weighted,Validation_Bias,-3.127809650322888e-05,0.00021557287218573423,-0.0002445599820930511,0.0003112411068286747
domain_weighted,OOD_Holdout_R2,0.3441560983657837,0.021678582108884435,0.3245987296104431,0.3799513578414917
domain_weighted,OOD_Holdout_RMSE,0.002481167437573561,4.131972825613849e-05,0.002412775382605785,0.0025181694027034416
domain_weighted,OOD_Holdout_MAE,0.002094966545701027,2.8158090688225833e-05,0.002046649344265461,0.0021199272014200687
domain_weighted,OOD_Holdout_Bias,-0.00020552632049657403,0.0003513749594040051,-0.0005485453875735402,0.00021850205666851252
domain_weighted,Prediction_R2,0.38367433547973634,0.09182197194023911,0.2528635263442993,0.47868722677230835
domain_weighted,Prediction_RMSE,0.0031490378909197455,0.00023362614884218265,0.002902525290243212,0.0034747758121177466
domain_weighted,Prediction_MAE,0.002708949288353324,0.0002445783413174995,0.002451905282214284,0.0030176008585840464
domain_weighted,Prediction_Bias,-0.0021125780651345847,0.00034628273747088563,-0.0025111311115324497,-0.0017084176652133465
