Seed,Validation_R2,Validation_RMSE,Validation_MAE,Validation_Bias,OOD_Holdout_R2,OOD_Holdout_RMSE,OOD_Holdout_MAE,OOD_Holdout_Bias,Prediction_R2,Prediction_RMSE,Prediction_MAE,Prediction_Bias,Validation_Absolute_Bias_Reduction,OOD_Holdout_Absolute_Bias_Reduction,Prediction_Absolute_Bias_Reduction
11,0.0014902353286743164,-3.8524072561857414e-05,-3.494881093502045e-05,6.070564268156886e-06,0.003871917724609375,-7.3239129734616396e-06,-4.892703145742416e-06,8.102096035145223e-05,0.01694697141647339,-4.23236017506423e-05,-4.8299552872776985e-05,6.236392073333263e-05,6.070564268156886e-06,8.102096035145223e-05,6.236392073333263e-05
42,0.001376807689666748,-3.4852357373104347e-05,-6.873905658721924e-05,0.0004441087949089706,0.036697328090667725,-7.037324480090468e-05,-7.611815817654133e-05,-3.7105841329321265e-05,0.09607076644897461,-0.00025614540075873365,-0.0002029077149927616,0.00022054766304790974,-0.00017837341874837875,3.7105841329321265e-05,0.00022054766304790974
73,0.0021096467971801758,-5.5390060933275566e-05,1.3145385310053825e-05,-0.000455996734672226,-0.029258549213409424,5.514775547314039e-05,2.54693441092968e-06,-0.0006074844204704277,-0.23217463493347168,0.0005899849353996835,0.0005518097896128893,-0.0006913683610036969,-3.312322951387614e-05,-0.00046700618258910254,-0.0006913683610036969
101,0.0004061460494995117,-1.0468575069803431e-05,4.600267857313156e-06,-0.00023679550031374674,0.030202746391296387,-5.632854198969403e-05,-1.3119541108608246e-05,-0.00034523116482887417,-0.058331191539764404,0.0001648697314756498,0.00024002301506698132,-0.0003591914428398013,0.00018517104217607994,0.00034523116482887417,-0.0003591914428398013
202,0.0009360313415527344,-2.440837348948897e-05,-9.789597243070602e-06,-0.00020845534527325071,-0.026903152465820312,5.0874717089938876e-05,2.0465347915887833e-05,-0.0005830336049257312,-0.10929656028747559,0.00028781006104686103,0.0003370181657373905,-0.000503218499943614,0.00017838290295912884,-0.0005140571702213492,-0.000503218499943614
