Seed,Dataset,Sample_ID,Control_Absolute_Error,Weighted_Absolute_Error,Absolute_Error_Reduction,Weighted_Improved
11,OOD_Holdout,randomness_0.0020,0.00496954470872879,0.004848446696996689,0.00012109801173210144,True
11,OOD_Holdout,randomness_0.0040,0.0009691007435321808,0.0009682103991508484,8.903443813323975e-07,True
11,OOD_Holdout,randomness_0.0060,0.003219209611415863,0.003288302570581436,-6.909295916557312e-05,False
11,OOD_Holdout,randomness_0.0070,0.0025259703397750854,0.002576276659965515,-5.030632019042969e-05,False
11,OOD_Holdout,randomness_0.0080,0.0016612894833087921,0.0017090588808059692,-4.7769397497177124e-05,False
11,OOD_Holdout,randomness_0.0100,0.0035614632070064545,0.0035483650863170624,1.309812068939209e-05,True
11,OOD_Holdout,randomness_0.0110,0.0010328032076358795,0.0010855719447135925,-5.276873707771301e-05,False
11,OOD_Holdout,randomness_0.0120,0.0034485794603824615,0.0034383274614810944,1.0251998901367188e-05,True
11,OOD_Holdout,randomness_0.0130,0.0036434195935726166,0.0036676116287708282,-2.419203519821167e-05,False
11,OOD_Holdout,randomness_0.0140,0.0009963922202587128,0.0010195672512054443,-2.3175030946731567e-05,False
11,OOD_Holdout,randomness_0.0150,0.0043477024883031845,0.004353528842329979,-5.826354026794434e-06,False
11,OOD_Holdout,randomness_0.0170,0.0038249604403972626,0.0039319805800914764,-0.00010702013969421387,False
11,OOD_Holdout,randomness_0.0180,0.003924284130334854,0.004075087606906891,-0.00015080347657203674,False
11,OOD_Holdout,randomness_0.0190,0.0012567117810249329,0.0012383051216602325,1.8406659364700317e-05,True
11,OOD_Holdout,randomness_0.0210,0.004075547680258751,0.0040432121604681015,3.2335519790649414e-05,True
11,OOD_Holdout,randomness_0.0220,0.00045724958181381226,0.00030038878321647644,0.00015686079859733582,True
11,OOD_Holdout,randomness_0.0240,0.0024727024137973785,0.002300698310136795,0.0001720041036605835,True
11,OOD_Holdout,randomness_0.0270,0.002706635743379593,0.002803295850753784,-9.666010737419128e-05,False
11,OOD_Holdout,randomness_0.0290,0.002239629626274109,0.002291005104780197,-5.137547850608826e-05,False
11,OOD_Holdout,randomness_0.0300,0.0026868022978305817,0.002591855823993683,9.49464738368988e-05,True
11,OOD_Holdout,randomness_0.0310,0.0024789273738861084,0.0023921728134155273,8.675456047058105e-05,True
11,OOD_Holdout,randomness_0.0320,0.001530427485704422,0.0015525184571743011,-2.209097146987915e-05,False
11,OOD_Holdout,randomness_0.0330,0.0007043257355690002,0.0007955804467201233,-9.125471115112305e-05,False
11,OOD_Holdout,randomness_0.0340,0.001544468104839325,0.0014482252299785614,9.624287486076355e-05,True
11,OOD_Holdout,randomness_0.0350,0.0031101517379283905,0.0029886774718761444,0.0001214742660522461,True
11,OOD_Holdout,randomness_0.0360,0.0018317587673664093,0.001959625631570816,-0.00012786686420440674,False
11,OOD_Holdout,randomness_0.0370,0.00011280551552772522,0.00013656914234161377,-2.376362681388855e-05,False
11,OOD_Holdout,randomness_0.0380,0.004087682813405991,0.003982175141572952,0.00010550767183303833,True
11,OOD_Holdout,randomness_0.0390,0.0016007088124752045,0.0015585534274578094,4.215538501739502e-05,True
11,OOD_Holdout,randomness_0.0400,0.001119229942560196,0.0009624697268009186,0.00015676021575927734,True
11,OOD_Holdout,randomness_0.0410,0.0013156235218048096,0.001269761472940445,4.5862048864364624e-05,True
11,OOD_Holdout,randomness_0.0450,0.000196751207113266,0.00010916590690612793,8.758530020713806e-05,True
11,OOD_Holdout,randomness_0.0470,0.0005303733050823212,0.000586237758398056,-5.586445331573486e-05,False
11,OOD_Holdout,randomness_0.0480,0.0030820369720458984,0.0032087303698062897,-0.00012669339776039124,False
11,OOD_Holdout,randomness_0.0490,0.0007244087755680084,0.0006019137799739838,0.00012249499559402466,True
11,OOD_Holdout,randomness_0.0501,0.0029670633375644684,0.0028428547084331512,0.00012420862913131714,True
11,OOD_Holdout,randomness_0.0511,0.0006767027080059052,0.0008532516658306122,-0.00017654895782470703,False
11,OOD_Holdout,randomness_0.0531,0.00011451169848442078,0.00019176676869392395,-7.725507020950317e-05,False
11,OOD_Holdout,randomness_0.0541,0.002296343445777893,0.0022069327533245087,8.94106924533844e-05,True
11,OOD_Holdout,randomness_0.0551,0.0008266456425189972,0.0009467527270317078,-0.00012010708451271057,False
11,OOD_Holdout,randomness_0.0601,0.0006604045629501343,0.0007713586091995239,-0.00011095404624938965,False
11,OOD_Holdout,randomness_0.0621,0.0022809989750385284,0.002217985689640045,6.301328539848328e-05,True
11,OOD_Holdout,randomness_0.0631,0.001830168068408966,0.0018881894648075104,-5.802139639854431e-05,False
11,OOD_Holdout,randomness_0.0641,0.00305316224694252,0.0029545463621616364,9.861588478088379e-05,True
11,OOD_Holdout,randomness_0.0651,0.002423614263534546,0.0026100464165210724,-0.0001864321529865265,False
11,OOD_Holdout,randomness_0.0671,0.0012440085411071777,0.0011201798915863037,0.00012382864952087402,True
11,OOD_Holdout,randomness_0.0681,0.0031312406063079834,0.003012966364622116,0.00011827424168586731,True
11,OOD_Holdout,randomness_0.0691,0.0007514320313930511,0.0009307526051998138,-0.0001793205738067627,False
11,OOD_Holdout,randomness_0.0711,0.0004088282585144043,0.0004463382065296173,-3.750994801521301e-05,False
11,OOD_Holdout,randomness_0.0761,0.0018676966428756714,0.0019080527126789093,-4.0356069803237915e-05,False
11,OOD_Holdout,randomness_0.0801,0.00026004016399383545,0.00012200698256492615,0.0001380331814289093,True
11,OOD_Holdout,randomness_0.0811,0.0009366646409034729,0.0009830333292484283,-4.6368688344955444e-05,False
11,OOD_Holdout,randomness_0.0821,0.0013743266463279724,0.0015242472290992737,-0.00014992058277130127,False
11,OOD_Holdout,randomness_0.0871,0.0006061680614948273,0.0005118437111377716,9.432435035705566e-05,True
11,OOD_Holdout,randomness_0.0881,0.001346386969089508,0.0011547431349754333,0.0001916438341140747,True
11,OOD_Holdout,randomness_0.0941,0.00043818727135658264,0.0005992725491523743,-0.00016108527779579163,False
11,OOD_Holdout,randomness_0.0951,0.0011025778949260712,0.0010066591203212738,9.591877460479736e-05,True
11,OOD_Holdout,randomness_0.0961,0.0009962543845176697,0.000978853553533554,1.74008309841156e-05,True
11,OOD_Holdout,randomness_0.0971,0.0034935064613819122,0.003396492451429367,9.701400995254517e-05,True
11,OOD_Holdout,randomness_0.0981,0.0031373053789138794,0.0032911598682403564,-0.00015385448932647705,False
11,OOD_Holdout,randomness_0.0991,0.003344956785440445,0.0033443868160247803,5.699694156646729e-07,True
11,OOD_Holdout,randomness_0.1001,0.001438930630683899,0.0013058409094810486,0.00013308972120285034,True
11,OOD_Holdout,randomness_0.1051,0.002608552575111389,0.0025309696793556213,7.758289575576782e-05,True
11,OOD_Holdout,randomness_0.1081,0.004088394343852997,0.003953468054533005,0.00013492628931999207,True
11,OOD_Holdout,randomness_0.1091,0.0034403204917907715,0.003349103033542633,9.121745824813843e-05,True
11,OOD_Holdout,randomness_0.1101,0.0010161139070987701,0.0011925175786018372,-0.00017640367150306702,False
11,OOD_Holdout,randomness_0.1261,0.0006037056446075439,0.000767827033996582,-0.00016412138938903809,False
11,OOD_Holdout,randomness_0.1291,0.002259358763694763,0.0022607408463954926,-1.3820827007293701e-06,False
11,OOD_Holdout,randomness_0.1371,0.0017359405755996704,0.0016732998192310333,6.264075636863708e-05,True
11,OOD_Holdout,randomness_0.1391,0.0018011704087257385,0.001791439950466156,9.73045825958252e-06,True
11,OOD_Holdout,randomness_0.1481,0.005322061479091644,0.005238533020019531,8.352845907211304e-05,True
11,OOD_Holdout,randomness_0.1572,0.0004778727889060974,0.0005033984780311584,-2.5525689125061035e-05,False
11,OOD_Holdout,randomness_0.1632,0.0009038150310516357,0.00107496976852417,-0.00017115473747253418,False
11,OOD_Holdout,randomness_0.1692,0.0030194930732250214,0.003119848668575287,-0.0001003555953502655,False
11,OOD_Holdout,randomness_0.1722,0.0049237944185733795,0.005034551024436951,-0.00011075660586357117,False
11,OOD_Holdout,randomness_0.1792,0.0025053098797798157,0.002375442534685135,0.00012986734509468079,True
11,OOD_Holdout,randomness_0.1942,0.0022085383534431458,0.002268582582473755,-6.004422903060913e-05,False
11,OOD_Holdout,randomness_0.2042,0.0016556866466999054,0.0014788396656513214,0.00017684698104858398,True
11,OOD_Holdout,randomness_0.2052,0.0010223984718322754,0.0008862167596817017,0.00013618171215057373,True
11,OOD_Holdout,randomness_0.2142,0.002685870975255966,0.0028031915426254272,-0.00011732056736946106,False
11,OOD_Holdout,randomness_0.2152,0.0031096190214157104,0.0030570626258850098,5.2556395530700684e-05,True
11,OOD_Holdout,randomness_0.2162,0.0018808171153068542,0.0019964687526226044,-0.00011565163731575012,False
11,OOD_Holdout,randomness_0.2192,0.0043279677629470825,0.004169732332229614,0.00015823543071746826,True
11,OOD_Holdout,randomness_0.2212,0.0034888125956058502,0.0035900920629501343,-0.00010127946734428406,False
11,OOD_Holdout,randomness_0.2262,0.0031563714146614075,0.0031070448458194733,4.9326568841934204e-05,True
11,OOD_Holdout,randomness_0.2312,0.000660039484500885,0.0005256794393062592,0.00013436004519462585,True
11,OOD_Holdout,randomness_0.2322,0.001995917409658432,0.001969214528799057,2.6702880859375e-05,True
11,OOD_Holdout,randomness_0.2332,0.0017619021236896515,0.0018158070743083954,-5.3904950618743896e-05,False
11,OOD_Holdout,randomness_0.2432,0.0007587522268295288,0.0007575564086437225,1.1958181858062744e-06,True
11,OOD_Holdout,randomness_0.2663,0.0015678182244300842,0.0014778338372707367,8.998438715934753e-05,True
11,OOD_Holdout,randomness_0.2973,0.001414719969034195,0.0013012737035751343,0.00011344626545906067,True
11,OOD_Holdout,randomness_0.3143,0.0008513666689395905,0.0008575133979320526,-6.146728992462158e-06,False
11,OOD_Holdout,randomness_0.3203,0.00292244553565979,0.003116711974143982,-0.0001942664384841919,False
11,OOD_Holdout,randomness_0.3243,0.0004599839448928833,0.00046779587864875793,-7.811933755874634e-06,False
11,OOD_Holdout,randomness_0.3293,0.004064083099365234,0.003993075340986252,7.100775837898254e-05,True
11,OOD_Holdout,randomness_0.3323,0.0001949518918991089,0.0002318061888217926,-3.6854296922683716e-05,False
11,OOD_Holdout,randomness_0.3834,0.0035244636237621307,0.0035761557519435883,-5.169212818145752e-05,False
11,OOD_Holdout,randomness_0.4044,0.003820568323135376,0.0037043169140815735,0.00011625140905380249,True
11,OOD_Holdout,randomness_0.4094,0.0019762925803661346,0.0018997415900230408,7.655099034309387e-05,True
11,OOD_Holdout,randomness_0.4434,0.005326801910996437,0.005380816757678986,-5.401484668254852e-05,False
11,Prediction,randomness_0.0061,0.0014518648386001587,0.0014247670769691467,2.7097761631011963e-05,True
11,Prediction,randomness_0.0153,0.0022495128214359283,0.0021839290857315063,6.5583735704422e-05,True
11,Prediction,randomness_0.0229,0.0008445568382740021,0.0008163601160049438,2.8196722269058228e-05,True
11,Prediction,randomness_0.1000,0.004008620977401733,0.0039261505007743835,8.247047662734985e-05,True
11,Prediction,randomness_0.1444,0.0014882087707519531,0.0014357976615428925,5.241110920906067e-05,True
11,Prediction,randomness_0.1889,0.0016370005905628204,0.0015009045600891113,0.0001360960304737091,True
11,Prediction,randomness_0.2333,0.003285154700279236,0.0031004659831523895,0.0001846887171268463,True
11,Prediction,randomness_0.2778,0.001965850591659546,0.0020843669772148132,-0.00011851638555526733,False
11,Prediction,randomness_0.3222,0.004088301211595535,0.004073653370141983,1.4647841453552246e-05,True
11,Prediction,randomness_0.3667,0.003705967217683792,0.0036467239260673523,5.924329161643982e-05,True
11,Prediction,randomness_0.4111,0.0016246065497398376,0.0015462785959243774,7.83279538154602e-05,True
11,Prediction,randomness_0.4556,0.006770685315132141,0.0067228712141513824,4.781410098075867e-05,True
11,Prediction,randomness_0.5000,0.00392911396920681,0.003959279507398605,-3.016553819179535e-05,False
11,Train,randomness_0.0000,0.0008848942816257477,0.0008944496512413025,-9.55536961555481e-06,False
11,Train,randomness_0.0010,0.003248162567615509,0.0032829605042934418,-3.479793667793274e-05,False
11,Train,randomness_0.0030,0.00216490775346756,0.0021924376487731934,-2.7529895305633545e-05,False
11,Train,randomness_0.0050,0.002957690507173538,0.003055419772863388,-9.772926568984985e-05,False
11,Train,randomness_0.0090,3.7647783756256104e-05,1.1827796697616577e-05,2.5819987058639526e-05,True
11,Train,randomness_0.0160,0.0006781481206417084,0.0007381625473499298,-6.0014426708221436e-05,False
11,Train,randomness_0.0200,0.0010925717651844025,0.0011559464037418365,-6.337463855743408e-05,False
11,Train,randomness_0.0230,0.0036760419607162476,0.0035319440066814423,0.0001440979540348053,True
11,Train,randomness_0.0250,0.00023672357201576233,0.0002483949065208435,-1.1671334505081177e-05,False
11,Train,randomness_0.0260,0.002270963042974472,0.0023263804614543915,-5.5417418479919434e-05,False
11,Train,randomness_0.0280,0.0008576102554798126,0.0008827373385429382,-2.512708306312561e-05,False
11,Train,randomness_0.0420,0.0016422905027866364,0.001692056655883789,-4.976615309715271e-05,False
11,Train,randomness_0.0430,0.005160367116332054,0.005206899717450142,-4.653260111808777e-05,False
11,Train,randomness_0.0440,0.004437822848558426,0.004435595124959946,2.2277235984802246e-06,True
11,Train,randomness_0.0460,0.0021802932024002075,0.0020758062601089478,0.00010448694229125977,True
11,Train,randomness_0.0521,0.002323620021343231,0.002262558788061142,6.106123328208923e-05,True
11,Train,randomness_0.0561,0.003642769530415535,0.003645719960331917,-2.950429916381836e-06,False
11,Train,randomness_0.0571,0.00222039595246315,0.0022167637944221497,3.632158041000366e-06,True
11,Train,randomness_0.0581,0.004670683294534683,0.0047117918729782104,-4.110857844352722e-05,False
11,Train,randomness_0.0591,0.0011606551706790924,0.0010305866599082947,0.00013006851077079773,True
11,Train,randomness_0.0611,0.001667749136686325,0.0017880350351333618,-0.00012028589844703674,False
