epoch,train_loss,val_loss,val_mae,val_r2
1,0.3739714026451111,0.2964969575405121,0.5422894954681396,-137.68971252441406
2,0.20341152201096216,0.0441182479262352,0.2077949196100235,-19.72551155090332
3,0.08608241689701875,0.017974148970097303,0.12897270917892456,-7.359444618225098
4,0.054670780483219356,0.015629594679921865,0.1214362159371376,-6.381448745727539
5,0.04615981856154071,0.0030364575795829296,0.04740556329488754,-0.4565790891647339
6,0.035475697471863694,0.0034155186731368303,0.05108451098203659,-0.638330340385437
7,0.032234320934447974,0.00943926302716136,0.09240902215242386,-3.4883270263671875
8,0.02234757039695978,0.0020482923137024045,0.03708437457680702,0.011162877082824707
9,0.030739097545544308,0.003720708191394806,0.05390141159296036,-0.7869340181350708
10,0.024076718423101637,0.007207675836980343,0.07943972200155258,-2.4351718425750732
11,0.0310508929606941,0.0013041995407547802,0.029878655448555946,0.3713768720626831
12,0.024978541846697528,0.008491739630699158,0.08733579516410828,-3.0316052436828613
13,0.025165429338812828,0.0011652973189484328,0.028182510286569595,0.4388406276702881
14,0.033122424657146134,0.009213984943926334,0.09146509319543839,-3.3679041862487793
15,0.022904296405613422,0.0010011896374635398,0.02690771408379078,0.5196672677993774
16,0.023684248328208923,0.009882067330181599,0.09507667273283005,-3.676913261413574
17,0.030441463821464114,0.006258796667680144,0.07353470474481583,-1.9711778163909912
18,0.02933989454888635,0.0038205223390832543,0.05446453019976616,-0.8214713335037231
19,0.024994034320116043,0.0029608606128022075,0.04590492695569992,-0.4140561819076538
20,0.02125367775766386,0.007404385367408395,0.08110030740499496,-2.5062334537506104
21,0.020566642905275028,0.0009676337649580091,0.026472775265574455,0.5347743034362793
22,0.021390160287006035,0.0069019554648548365,0.0779181495308876,-2.2699131965637207
23,0.024747873656451702,0.004276400082744658,0.05855811759829521,-1.0354814529418945
24,0.02249151664889521,0.0011989018530584872,0.02769293449819088,0.4390789866447449
25,0.024071199612485036,0.015559682622551918,0.12136110663414001,-6.333377361297607
26,0.01963134275542365,0.0009747952572070062,0.025671709328889847,0.5378693342208862
27,0.017695784154865477,0.006619588704779744,0.07605598121881485,-2.1340219974517822
28,0.025196918803784583,0.012543707620352507,0.10820409655570984,-4.917812347412109
29,0.023693899520569377,0.0010006197553593665,0.026858767494559288,0.5189894437789917
30,0.020815495712061722,0.006516668712720275,0.07529745995998383,-2.0885202884674072
31,0.023347026978929836,0.0012431495124474168,0.029033096507191658,0.40165430307388306
32,0.013413667575352721,0.003217307385057211,0.048635244369506836,-0.5352334976196289
33,0.015154610387980938,0.010164261795580387,0.09661244601011276,-3.8005566596984863
34,0.026724965828988288,0.00206702301511541,0.03644801676273346,0.012754619121551514
35,0.020358302630484104,0.004380438360385597,0.05915938690304756,-1.072779655456543
36,0.01962383629547225,0.001963432936463505,0.03496049344539642,0.06461042165756226
