,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,7.186213224485982e-06,0.00268071132807805,0.0021474340464919806,53.17782211303711,13894.7724609375,0.9524717330932617
Validation,9.981138646253385e-06,0.003159294010732997,0.0026085590943694115,25.746206283569336,430.5525207519531,0.9302298426628113
Test,9.721043170429766e-06,0.003117858747671191,0.0024691626895219088,534.8355712890625,47611.9921875,0.9388680458068848
