,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,0.0001361524628009647,0.011668438747363107,0.01031697541475296,402.8973388671875,122859.8984375,0.07816976308822632
Validation,0.0001487678528064862,0.012197042789401298,0.010450171306729317,6797.2294921875,655504.8125,0.050220489501953125
Test,0.00015573858399875462,0.012479526593535293,0.011158274486660957,7327.669921875,702079.625,0.09011340141296387
