node_id,x,y
0,0.0,0.0
1,0.0,34.593924
2,0.0,69.256988
3,0.0,103.855833
4,0.0,138.555752
5,0.0,173.306632
6,0.0,207.886221
7,0.0,242.365686
8,0.0,277.027172
9,0.0,311.804539
10,0.0,346.410162
11,29.886748,190.523133
12,29.946571,17.320508
13,29.969478,225.104753
14,30.004315,121.170014
15,30.017263,51.885475
16,30.033504,363.73067
17,30.037807,155.850287
18,30.038758,329.037781
19,30.048601,294.462376
20,30.090089,259.860733
21,30.096365,86.588377
22,59.90257,104.007617
23,59.954316,207.799829
24,60.001028,0.0
25,60.006858,242.389824
26,60.025538,346.410162
27,60.049321,34.752353
28,60.073765,277.072756
29,60.084677,173.20083
30,60.10187,69.290031
31,60.103915,311.7533
32,60.117758,138.466252
33,89.881516,190.490537
34,89.932318,121.154792
35,89.955667,17.320508
36,89.966729,225.124435
37,89.97378,52.034843
38,89.973949,259.686256
39,90.015235,363.73067
40,90.023407,294.47915
41,90.061235,155.981162
42,90.087492,86.582371
43,90.090085,329.063097
44,119.879976,277.207359
45,119.88189,103.928927
46,119.887818,0.0
47,119.894782,207.948191
48,119.933913,311.78844
49,119.940974,242.489912
50,119.972569,138.519998
51,119.993306,173.181876
52,119.996062,69.364995
53,120.064355,34.737671
54,120.093158,346.410162
55,149.88489,51.998075
56,149.89963,121.334099
57,149.907261,329.012949
58,149.91746,259.843768
59,149.94391,155.860647
60,149.998551,190.595224
61,150.00642,225.046852
62,150.032352,363.73067
63,150.095897,17.320508
64,150.096855,86.573608
65,150.11014,294.358549
66,179.882861,138.533976
67,179.902762,346.410162
68,179.903132,173.159671
69,179.917882,207.893684
70,179.928797,34.630085
71,179.943117,0.0
72,179.952966,311.696691
73,179.959179,69.264722
74,180.036777,277.21786
75,180.074207,103.89316
76,180.114277,242.51424
77,209.894937,363.73067
78,209.91757,190.46637
79,209.942628,329.013269
80,210.017571,121.298031
81,210.020937,17.320508
82,210.038307,155.857881
83,210.057798,259.804252
84,210.081421,225.24203
85,210.088585,51.851879
86,210.09941,86.498423
87,210.112675,294.542246
88,239.927691,0.0
89,239.927748,138.522844
90,239.936052,207.858188
91,239.957792,242.368913
92,239.982608,173.126862
93,240.020528,277.164118
94,240.024336,69.355247
95,240.066613,34.614922
96,240.07952,346.410162
97,240.09028,104.012293
98,240.096435,311.743101
99,269.899944,190.463915
100,269.969226,86.705212
101,269.976727,121.129257
102,269.979528,155.803313
103,269.982837,259.927298
104,269.988794,329.15649
105,270.03741,363.73067
106,270.067531,225.11852
107,270.069487,294.332094
108,270.072256,51.874985
109,270.076697,17.320508
110,300.0,0.0
111,300.0,34.648273
112,300.0,69.397219
113,300.0,103.865945
114,300.0,138.455362
115,300.0,173.151117
116,300.0,207.885749
117,300.0,242.431512
118,300.0,277.153024
119,300.0,311.66802
120,300.0,346.410162
