,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2,Bias
Train,7.67808796808822e-06,0.002770936298092798,0.002193048130720854,110.49337768554688,48965.83203125,0.948809027671814,-0.00042820602538995445
Validation,7.694880878261756e-06,0.0027739648300333145,0.002274714643135667,19.695039749145508,359.73516845703125,0.9447450637817383,-0.00013403766206465662
OOD_Holdout,6.149518867459847e-06,0.002479822345947356,0.002119926270097494,5.8728718757629395,19.190458297729492,0.3450123071670532,0.0001279700518352911
Prediction,1.004763544187881e-05,0.0031698005366077547,0.0026612093206495047,7.395318984985352,19.185312271118164,0.37825798988342285,-0.0019302574219182134
