node_id,x,y
0,0.0,0.0
1,0.0,42.613627
2,0.0,69.091115
3,0.0,104.114763
4,0.0,142.993808
5,0.0,165.378256
6,0.0,196.900514
7,0.0,252.08042
8,0.0,283.222213
9,0.0,300.207258
10,0.0,346.410162
11,16.0214,232.868407
12,16.851232,17.320508
13,17.964485,264.165482
14,22.318582,186.467803
15,23.570085,72.712429
16,30.447508,287.299051
17,31.830253,132.966033
18,35.888767,328.422342
19,39.339668,363.73067
20,41.491317,144.647512
21,42.412461,50.01532
22,45.669793,145.492271
23,46.423224,72.657112
24,48.153638,346.410162
25,49.790504,114.864773
26,50.809783,308.552824
27,51.545037,245.341689
28,55.664817,0.0
29,57.555814,214.995905
30,57.874306,20.962816
31,64.795263,179.892182
32,65.68759,278.01279
33,75.945151,293.825422
34,76.334607,17.320508
35,77.516982,363.73067
36,77.879949,189.773283
37,80.616801,50.184678
38,88.566973,215.412575
39,94.749623,337.671746
40,95.036434,130.953561
41,97.735463,89.032575
42,101.322773,262.730951
43,101.338297,153.258118
44,109.734262,214.570208
45,113.087726,251.908206
46,114.881193,161.390299
47,115.611415,114.247294
48,116.99239,346.410162
49,119.974961,282.28546
50,125.979806,65.27491
51,126.209941,0.0
52,126.810032,298.993359
53,129.244687,26.708531
54,134.061491,135.271626
55,142.280339,176.055331
56,143.585913,286.375458
57,143.82864,72.994111
58,145.857078,146.943203
59,150.688309,363.73067
60,154.207546,229.576685
61,155.638088,122.205248
62,156.347994,17.320508
63,159.565365,322.389384
64,161.386214,254.354084
65,163.776879,42.367156
66,171.860293,104.822347
67,173.910628,299.146435
68,174.289265,149.893217
69,177.575365,184.611634
70,177.962298,209.487053
71,178.075592,66.327507
72,178.353676,346.410162
73,179.021915,264.65488
74,187.505205,241.96097
75,192.348625,0.0
76,193.225133,32.656064
77,197.771795,337.668417
78,198.539288,119.303179
79,201.016021,265.085234
80,215.205567,56.295468
81,215.910098,17.320508
82,216.480411,88.507859
83,216.506764,363.73067
84,216.561187,298.504172
85,219.912265,167.522598
86,220.121416,226.817535
87,221.298739,186.145253
88,226.423362,169.605149
89,231.160174,34.987911
90,233.069169,285.365728
91,234.327655,96.557967
92,237.729852,314.162996
93,242.569005,346.410162
94,242.715629,59.084105
95,242.999049,244.77559
96,250.390041,200.013321
97,252.660565,0.0
98,253.006342,128.292512
99,256.638267,269.617653
100,265.954644,99.929301
101,268.989976,121.601932
102,269.756269,308.109927
103,271.489178,363.73067
104,277.014415,17.320508
105,279.085126,212.870105
106,279.545317,177.744769
107,282.98311,341.564361
108,283.697796,151.052064
109,284.127929,50.585882
110,300.0,0.0
111,300.0,32.409349
112,300.0,79.821433
113,300.0,104.622046
114,300.0,133.940634
115,300.0,167.226413
116,300.0,220.7957
117,300.0,248.019824
118,300.0,279.306307
119,300.0,318.585687
120,300.0,346.410162
