Dataset,Count,Randomness_Value,Node_Count,Graph_Density,Std_Degree,Mean_Center_Distance,Std_Center_Distance
Train,800,0.544613875,120.7875,0.0380196545939509,1.3472320304811,136.15159898757935,50.933554739952086
Validation,100,0.5275399999999999,120.75,0.038137066977454906,1.36132093667984,136.07369796752928,50.820677795410155
OOD_Holdout,100,0.11554900000000001,121.0,0.040716253443526175,1.3319910752773285,135.97487686157226,50.88680793762207
Prediction,13,0.2341769230769231,121.0,0.04044289044289044,1.3238816903187678,136.0590327336238,50.943929818960335
