Dataset,Sample_ID,Control_Absolute_Error,Adapted_Absolute_Error,Absolute_Error_Reduction,Adapted_Improved
Train,randomness_0.1602,0.0013742037,0.001322817,5.1386654e-05,True
Train,randomness_0.8929,0.00047284737,0.00039887382,7.3973555e-05,True
Train,randomness_0.1932,0.0005664043,0.0005435385,2.2865832e-05,True
Train,randomness_0.2022,0.00264759,0.002591554,5.6035817e-05,True
Train,randomness_0.8378,0.0034042536,0.0041899695,-0.0007857159,False
Train,randomness_0.3864,0.003679758,0.0031037312,0.00057602674,True
Train,randomness_0.3343,0.0003526695,0.00011276081,0.0002399087,True
Train,randomness_0.0000,0.0007148646,0.001174394,-0.00045952946,False
Train,randomness_0.9910,0.00030849874,0.0007648356,-0.0004563369,False
Train,randomness_0.7017,0.00084858015,0.00059443526,0.0002541449,True
Train,randomness_0.9560,0.003032489,0.002543891,0.0004885979,True
Train,randomness_0.4955,0.0029354412,0.0025021099,0.00043333136,True
Train,randomness_0.6356,0.002466116,0.00311362,-0.0006475039,False
Train,randomness_0.2032,0.0027603544,0.0028588772,-9.852275e-05,False
Train,randomness_0.3744,0.00050161406,0.001050368,-0.0005487539,False
Train,randomness_0.7968,0.0052725766,0.004496026,0.00077655073,True
Train,randomness_0.1922,0.0005134009,0.00045406818,5.93327e-05,True
Train,randomness_0.3213,0.00054805726,0.00089396536,-0.0003459081,False
Train,randomness_0.9139,0.00064443704,4.7346577e-05,0.00059709046,True
Train,randomness_0.7608,0.0017609708,0.00095838774,0.00080258306,True
Train,randomness_0.1231,0.0011728108,0.0010075904,0.00016522035,True
Train,randomness_0.8849,0.005330216,0.0057789627,-0.0004487466,False
Train,randomness_0.3704,0.00462047,0.005078487,-0.000458017,False
Train,randomness_0.4174,0.0034164302,0.0025497116,0.0008667186,True
Train,randomness_0.7307,0.0043475404,0.003685766,0.00066177454,True
Train,randomness_0.2292,0.00025673583,0.0004192926,-0.00016255677,False
Train,randomness_0.8138,0.00075002573,0.000117650256,0.0006323755,True
Train,randomness_0.6957,0.0024122708,0.001699768,0.00071250275,True
Train,randomness_0.9169,0.0050408915,0.0046571568,0.0003837347,True
Train,randomness_0.8819,0.0012092548,0.0018882803,-0.0006790254,False
Train,randomness_0.4695,0.0008850284,0.0016966723,-0.0008116439,False
Train,randomness_0.3644,0.0035713315,0.0029630251,0.0006083064,True
Train,randomness_0.7287,0.00056986697,0.0010484578,-0.00047859084,False
Train,randomness_0.4054,0.0032636523,0.002550844,0.0007128082,True
Train,randomness_0.5235,0.003510533,0.0029373206,0.0005732123,True
Train,randomness_0.4084,0.0026478413,0.002138473,0.00050936826,True
Train,randomness_0.4545,0.0034813825,0.0028828848,0.0005984977,True
Train,randomness_0.1121,0.002449166,0.0026953109,-0.00024614483,False
Train,randomness_0.4494,0.0057168026,0.005161939,0.00055486336,True
Train,randomness_0.4715,0.0022655893,0.0017285012,0.00053708814,True
Train,randomness_0.5796,0.0060324874,0.005412124,0.0006203633,True
Train,randomness_0.6807,0.0009247679,0.0013555903,-0.00043082237,False
Train,randomness_0.3574,0.0017275326,0.0022635274,-0.00053599477,False
Train,randomness_0.2853,0.0007978715,0.00119384,-0.00039596856,False
Train,randomness_1.0000,0.0022019194,0.0016343072,0.00056761224,True
Train,randomness_0.8509,0.0062930854,0.0054976083,0.00079547707,True
Train,randomness_0.1832,0.0003681332,0.00039808452,-2.9951334e-05,False
Train,randomness_0.9760,0.0026527727,0.0018088855,0.0008438872,True
Train,randomness_0.1251,0.0005917214,0.0004922636,9.94578e-05,True
Train,randomness_0.7918,0.0011401605,0.0003848914,0.0007552691,True
