Partition,Count,Mean_Domain_Distance,Mean_Stiffness
train,800,1.8664502257086832,0.0233800144807526
validation,100,1.8247500798161422,0.023717068867869524
adaptation_train,40,0.32923737634352024,0.03624202370350525
adaptation_validation,10,0.3030589001749231,0.03785886839032172
ood_evaluation,50,0.335855161986508,0.03722105461731552
