Architecture,Architecture_Key,Seed,Input_Dim,Graph_Feature_Dim,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2,Output_Dir
GCN-3,gcn3,42,9,12,900,0.06460385143756867,0.003088990123204455,0.0024814335629343987,0.9390818476676941,0.0027726635440147593,0.002178695984184742,0.9550856351852417,0.002982234739829534,0.0024501858279109,0.44966137409210205,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison/run_20260629_131322/per_model/gcn3/run_20260629_140045
GCN-2 Control (Best Prior),gcn2_control,42,9,12,900,0.06393893897533416,0.0030730526750053005,0.002434258349239826,0.9397088289260864,0.0027794132380774793,0.00216697552241385,0.9548667073249817,0.0031109177794159536,0.00271605234593153,0.40114259719848633,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison/run_20260629_131322/per_model/gcn2_control/run_20260629_132529
GraphSAGE,graphsage,42,9,12,900,0.06011974334716797,0.0029798599010572506,0.002353252610191703,0.9433101415634155,0.0028122364727771586,0.0022441043984144926,0.9537943601608276,0.0031459651600639284,0.0028442288748919964,0.3875732421875,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison/run_20260629_131322/per_model/graphsage/run_20260629_134534
GIN,gin,42,9,12,900,0.0644022685289383,0.0030841669626015277,0.002437568735331297,0.9392719268798828,0.0029011130095618586,0.0022663488052785397,0.9508277177810669,0.0030119648494464405,0.0026487766299396753,0.43863391876220703,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison/run_20260629_131322/per_model/gin/run_20260629_133739
