Run,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2
adamw,110,9.188509546220302e-05,0.009585670845950255,0.008116557262837887,0.41337746381759644,0.00937033775749829,0.008030015043914318,0.4870187044143677,0.009248930389518063,0.008605411276221275,-4.2933349609375
sgd_nesterov,211,0.00014876784582156687,0.012197042789401298,0.010450171306729317,0.050220489501953125,0.012479526593535293,0.011158274486660957,0.09011340141296387,0.012287839806230577,0.011724471114575863,-8.343238830566406
sgd_momentum,222,0.00014555597881553694,0.012064657833075759,0.010452810674905777,0.07072615623474121,0.012542318537095181,0.011327006854116917,0.08093404769897461,0.01335706864666806,0.012838433496654034,-10.039989471435547
