metric,value
run_number,5
run_label,trial_05
started_at,2026-06-03T11:33:14
completed_at,2026-06-03T11:33:50
config_batch_size,8
config_dropout,0.1
config_epochs,140
config_hidden_dim,48
config_learning_rate,0.0007
config_model_name,gcn
config_num_layers,3
config_patience,25
config_seed,11
config_split_random_state,42
config_weight_decay,0.0001
epochs_trained,96
best_epoch,71
best_val_loss,0.0021770436433143914
test_loss,0.007391083287075162
test_mse,0.00729482714086771
test_mae,0.07087177783250809
test_rmse,0.08540976022017455
test_r2,-0.008725881576538086
