Architecture,Architecture_Key,Member_Count,Member_Seeds,Split_Seed,Hidden_Dim,Dropout,Weight_Decay,LR_Phase1,LR_Phase2,Loss_Name,Huber_Beta,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2,Output_Dir
GCN-3 Ensemble,gcn3,5,"11,42,73,101,202",11,24,0.1,1e-05,0.003,0.0005,mse,0.75,0.002969082843137178,0.0023763568606227636,0.9380146265029907,0.002948266527042108,0.002341942861676216,0.9392534494400024,0.0029596538374558395,0.0025515418965369463,0.45796388387680054,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_multi_split/run_resumable_v1/per_split/split_seed_11
GCN-3 Ensemble,gcn3,5,"11,42,73,101,202",42,24,0.1,1e-05,0.003,0.0005,mse,0.75,0.003016727531951782,0.0023118951357901096,0.9418987035751343,0.0028249922758167654,0.002242396818473935,0.9533742666244507,0.003045343871054294,0.0026434229221194983,0.4261227250099182,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_multi_split/run_resumable_v1/per_split/split_seed_42
GCN-3 Ensemble,gcn3,5,"11,42,73,101,202",73,24,0.1,1e-05,0.003,0.0005,mse,0.75,0.0028190167569372916,0.002366123953834176,0.9471359252929688,0.0028185503590871706,0.002297219354659319,0.9449313879013062,0.002988805265720152,0.002507392782717943,0.4472336173057556,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_multi_split/run_resumable_v1/per_split/split_seed_73
GCN-3 Ensemble,gcn3,5,"11,42,73,101,202",101,24,0.1,1e-05,0.003,0.0005,mse,0.75,0.0028393780192552264,0.002296566730365157,0.9545457363128662,0.0026990085923004237,0.0021710917353630066,0.9523998498916626,0.0027829760756341347,0.0023136974778026342,0.5207464694976807,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_multi_split/run_resumable_v1/per_split/split_seed_101
GCN-3 Ensemble,gcn3,5,"11,42,73,101,202",202,24,0.1,1e-05,0.003,0.0005,mse,0.75,0.0031206033579558525,0.002557045314460993,0.931928277015686,0.003134954355523098,0.002524074399843812,0.9381958246231079,0.0030170036785409356,0.0025929270777851343,0.43675410747528076,/content/drive/MyDrive/gnn_prototype_outputs/gcn3_ensemble_multi_split/run_resumable_v1/per_split/split_seed_202
