Metric,mean,std,min,max
Validation_R2,0.9427046537399292,0.008640364727979626,0.931928277015686,0.9545457363128662
Test_R2,0.945630955696106,0.007110203020703503,0.9381958246231079,0.9533742666244507
Test_RMSE,0.002885154421953913,0.00016514311939602795,0.0026990085923004237,0.003134954355523098
Prediction_R2,0.45776416063308717,0.037149381704299385,0.4261227250099182,0.5207464694976807
Prediction_RMSE,0.002958756545681071,0.0001033109357233312,0.0027829760756341347,0.003045343871054294
