Architecture,Validation_R2_mean,Validation_R2_std,Validation_R2_min,Validation_R2_max,Test_R2_mean,Test_R2_std,Test_R2_min,Test_R2_max,Test_RMSE_mean,Test_RMSE_std,Test_RMSE_min,Test_RMSE_max,Prediction_R2_mean,Prediction_R2_std,Prediction_R2_min,Prediction_R2_max,Prediction_RMSE_mean,Prediction_RMSE_std,Prediction_RMSE_min,Prediction_RMSE_max
GCN-2 Control (Best Prior),0.9416326761245728,0.00856521313866444,0.9305142760276794,0.9531630873680115,0.9447221040725708,0.0074172480594300386,0.9384294748306274,0.9548667073249817,0.00290756576980689,0.000150104113211268,0.0027581557168232127,0.003129022581360993,0.445911169052124,0.0566843462736203,0.40114259719848633,0.5388955473899841,0.0029890809107664443,0.00015701941554800537,0.0027297725817630723,0.0031109177794159536
GCN-3,0.9410913825035095,0.007735024709883758,0.9321035146713257,0.9518619775772095,0.9456246972084046,0.008914087582621959,0.9342808723449707,0.9550856351852417,0.0028824626204763644,0.00021881799666016383,0.0026592609374148663,0.003232721866022643,0.44527913331985475,0.03344448287752226,0.4141700267791748,0.5004479885101318,0.002992964967712588,9.153865262531763e-05,0.0028413005382410044,0.003076894620589823
