Seed,Delta_Test_R2_GCN3_minus_GCN2,Delta_Test_RMSE_GCN3_minus_GCN2,Delta_Prediction_R2_GCN3_minus_GCN2
11,0.0009422898292541504,-2.290297344170267e-05,-0.00538027286529541
42,0.00021892786026000977,-6.749694062719962e-06,0.04851877689361572
73,0.003999531269073486,-0.00010066758440150855,0.040280699729919434
101,0.003500819206237793,-9.889477940834644e-05,-0.11225765943527222
202,-0.004148602485656738,0.00010369928466164979,0.025678277015686035
