Seed,Input_Dim,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2
11,9,900,9.629574733480695e-06,0.003103155698361341,0.0024253532756119967,0.9322901964187622,0.003032133064310477,0.0024514799006283283,0.9357483386993408,0.0026150166245975854,0.0020932378247380257,0.576849102973938
42,9,900,9.621256212994922e-06,0.0031018148285706297,0.0024293477181345224,0.9385749697685242,0.003233815531823345,0.0024871777277439833,0.9389027953147888,0.0034486930920215888,0.0028299230616539717,0.2640379071235657
73,9,900,8.039629756240175e-06,0.0028354241837751535,0.0024021444842219353,0.9465187788009644,0.0030631627119509556,0.002443210920318961,0.9349582195281982,0.0026680882793323137,0.0021270010620355606,0.5594991445541382
101,9,900,8.16422307252651e-06,0.002857310747821625,0.002361294813454151,0.9539697766304016,0.0028573338248004433,0.002290134783834219,0.9466515183448792,0.0026906680761813943,0.002273918129503727,0.5520117282867432
202,9,900,9.180167407976115e-06,0.0030298789862444023,0.0024731126613914967,0.9358288049697876,0.003242419466426379,0.0026071963366121054,0.9338859915733337,0.0027566633709410777,0.0023370685521513224,0.5297662019729614
