Dataset,Sample_Count,Member_Count,R2,RMSE,MAE,Bias,Mean_Member_Std,Median_Member_Std,Max_Member_Std,Mean_Member_Range,Pearson_Std_vs_Absolute_Error,Spearman_Std_vs_Absolute_Error,Nominal_Mean_CI_80_Percent,Empirical_Mean_CI_80_Coverage_Percent,Mean_CI_80_Mean_Width,Nominal_Mean_CI_90_Percent,Empirical_Mean_CI_90_Coverage_Percent,Mean_CI_90_Mean_Width,Nominal_Mean_CI_95_Percent,Empirical_Mean_CI_95_Coverage_Percent,Mean_CI_95_Mean_Width
Validation,100,5,0.9410655762414599,0.0030382791703608,0.002346614251876417,4.4786889137867304e-05,0.0005870004474285135,0.0005548615643391139,0.001268828119766492,0.0014663863944588229,0.029420942251786274,-0.0712151215121512,80.0,12.0,0.0008049780041831383,90.0,18.0,0.0011192817302647492,95.0,23.0,0.0014577146450029763
Test,100,5,0.9528494177456215,0.0028408480798269254,0.0022466345474072115,1.091151140053638e-05,0.0005697863221218868,0.0004953279687209088,0.001302676334507012,0.0013858006793088862,0.1940556084476854,0.11069906990699069,80.0,11.0,0.0007813715618136467,90.0,17.0,0.0010864581505850388,95.0,20.0,0.0014149663256953614
Prediction,13,5,0.4023650479061006,0.003107740870666258,0.0026946791089498085,-0.0020428436306806717,0.0004482961462022021,0.0004773052596736381,0.0006658185022770464,0.0011119500089150209,0.13687784124517596,-0.027472527472527472,80.0,0.0,0.0006147670561985196,90.0,0.0,0.0008548029024344595,95.0,0.0,0.0011132663705455332
