metric,value
run_number,5
run_label,run_0005_20260605_135415
started_at,2026-06-05T13:54:15
completed_at,2026-06-05T13:54:21
config_batch_size,8
config_dropout,0.2
config_epochs,100
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,15
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05
epochs_trained,36
best_epoch,21
best_val_loss,0.0009676337649580091
test_loss,0.0025147785199806094
test_mse,0.0024855707306414843
test_mae,0.03720397129654884
test_rmse,0.0498554984995786
test_r2,0.6562962532043457
test_baseline_mse,0.007231724448502064
test_baseline_mae,0.07110181450843811
test_baseline_rmse,0.08503954637991705
