epoch,train_loss,val_loss,val_mae,val_r2
1,0.6144734786616431,0.3341823145747185,0.574303925037384,-154.83865356445312
2,0.21846996537513202,0.015743427677080035,0.1114397868514061,-6.679008960723877
3,0.14547360998888811,0.04697560891509056,0.20813322067260742,-20.669795989990234
4,0.07716505353649457,0.02146405540406704,0.13415855169296265,-8.837114334106445
5,0.12123025860637426,0.008093850570730865,0.07350336760282516,-2.68930721282959
6,0.1253723478358653,0.01610539690591395,0.11291465908288956,-6.362517833709717
7,0.06753862894968027,0.009334790403954685,0.0784762054681778,-3.2508583068847656
8,0.07441487525486284,0.015473403967916965,0.11056297272443771,-6.068319797515869
9,0.07132557220757008,0.030831350944936275,0.16591385006904602,-13.172263145446777
10,0.08243946927703089,0.012322389055043459,0.09603441506624222,-4.614223480224609
11,0.06446096363166968,0.007594661554321647,0.07089567184448242,-2.4469120502471924
12,0.05963291646912694,0.01252298685722053,0.09750639647245407,-4.703454494476318
13,0.049057405441999435,0.003010696906130761,0.04570474475622177,-0.39424407482147217
14,0.07435345794591638,0.020354034611955285,0.13156814873218536,-8.31583023071289
15,0.05752161556544403,0.018339473754167557,0.12385620921850204,-7.383771896362305
16,0.06418024760205299,0.007753344951197505,0.07160666584968567,-2.511265754699707
17,0.04757031032608615,0.012367048300802708,0.09744226187467575,-4.626599311828613
18,0.05834199467466937,0.01782628451474011,0.12216111272573471,-7.144356727600098
19,0.05635483586229384,0.007702170521952212,0.07189533859491348,-2.483323812484741
20,0.04127925973282092,0.0060501196421682835,0.06303022056818008,-1.7297601699829102
21,0.04333359168635474,0.0040227125864475965,0.05075514316558838,-0.813934326171875
22,0.03528147294289536,0.0166171845048666,0.11744537204504013,-6.5840935707092285
23,0.05109001853917208,0.003714190563187003,0.048413265496492386,-0.6749216318130493
24,0.0301955075831049,0.01841610437259078,0.12484636902809143,-7.415399551391602
25,0.0308798208910351,0.006247314158827066,0.06376592814922333,-1.8157520294189453
26,0.0291553375362936,0.006721797166392207,0.06633379310369492,-2.031287670135498
27,0.039164400245580405,0.007793085649609566,0.07307256013154984,-2.520050287246704
28,0.03245968319889572,0.005452049896121025,0.059548236429691315,-1.4520108699798584
29,0.026561313826176856,0.0061735265189781785,0.06322352588176727,-1.7791481018066406
30,0.0314099019807246,0.012328523211181164,0.09818684309720993,-4.602378845214844
31,0.033004941030715905,0.00952099566347897,0.08297710120677948,-3.3101959228515625
32,0.028602141796404287,0.005154275335371494,0.057716235518455505,-1.3141345977783203
33,0.025935232910948496,0.007052152417600155,0.06898228079080582,-2.17751407623291
34,0.03175865717801369,0.010041372384876013,0.08619117736816406,-3.5478081703186035
35,0.02562994985944695,0.0030661632190458477,0.042873743921518326,-0.3769923448562622
36,0.025358731910172436,0.007920275325886905,0.07436657696962357,-2.573776960372925
37,0.024906833591457043,0.0035169621114619076,0.046390969306230545,-0.5748666524887085
38,0.02505432082236641,0.0034284330904483795,0.045591432601213455,-0.5348473787307739
