metric,value
run_number,12
run_label,trial_12
started_at,2026-06-03T11:34:50
completed_at,2026-06-03T11:34:55
config_batch_size,4
config_dropout,0.2
config_epochs,140
config_hidden_dim,32
config_learning_rate,0.002
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,42
config_split_random_state,42
config_weight_decay,0.0
epochs_trained,38
best_epoch,13
best_val_loss,0.003010696906130761
test_loss,0.007673688669456169
test_mse,0.007429488468915224
test_mae,0.06242398917675018
test_rmse,0.0861944805014522
test_r2,-0.02734673023223877
