node_id,x,y
0,0.0,0.0
1,0.0,33.113756
2,0.0,69.59277
3,0.0,102.160367
4,0.0,135.332611
5,0.0,172.915925
6,0.0,204.532138
7,0.0,245.51156
8,0.0,273.503853
9,0.0,314.410241
10,0.0,346.410162
11,26.649178,153.715117
12,27.042867,263.014571
13,28.287674,120.338496
14,28.687765,87.611246
15,29.075554,17.320508
16,29.60362,292.543627
17,29.723067,49.656987
18,31.37017,363.73067
19,33.318262,225.171602
20,33.54139,332.525705
21,33.670484,189.515059
22,56.465625,0.0
23,56.510084,142.168481
24,60.976873,280.096108
25,61.313109,311.2304
26,61.635054,243.157946
27,61.915485,70.339312
28,62.262566,346.410162
29,62.484961,210.592329
30,62.764021,107.189218
31,62.930926,170.813999
32,63.302531,31.817315
33,86.257328,17.320508
34,86.929696,88.399489
35,87.716566,51.013894
36,88.826484,221.540913
37,88.846116,294.571235
38,90.501078,192.694224
39,90.878997,256.776959
40,92.306043,124.851598
41,93.541799,331.003488
42,93.581152,363.73067
43,93.774999,153.527323
44,116.244603,38.389186
45,116.503917,71.291185
46,116.93435,136.541998
47,118.032125,0.0
48,118.432596,106.778362
49,119.832909,274.248482
50,121.331009,175.603074
51,121.71994,314.862453
52,122.433473,206.149332
53,122.747601,346.410162
54,123.368973,243.151287
55,147.258926,261.852441
56,149.471471,82.914832
57,149.501136,292.185512
58,150.972639,224.602694
59,151.196397,17.320508
60,151.459716,325.542614
61,152.252201,121.799682
62,152.349571,51.970614
63,153.161155,156.278462
64,153.365366,189.983128
65,153.739937,363.73067
66,177.422974,346.410162
67,177.46353,275.082354
68,177.744424,66.688971
69,179.416906,238.818995
70,179.866838,312.095015
71,180.01523,0.0
72,180.165174,105.086661
73,180.383621,134.807972
74,180.58315,36.915258
75,181.720896,204.182193
76,183.017329,176.08333
77,206.751595,193.294624
78,207.113211,89.258001
79,207.224408,121.077119
80,208.104308,363.73067
81,208.799864,49.03347
82,210.476858,325.368292
83,210.985077,258.851738
84,211.604499,226.752814
85,212.056742,17.320508
86,213.170708,296.814318
87,213.259468,157.759705
88,236.794955,170.525995
89,237.425857,205.4842
90,237.706711,134.978585
91,237.8322,276.79288
92,238.857676,346.410162
93,238.879253,33.241547
94,241.131261,102.628523
95,241.338894,315.021597
96,242.257476,0.0
97,242.344887,243.555426
98,242.614108,68.958878
99,266.625804,223.112568
100,266.784091,17.320508
101,266.797491,297.191972
102,266.918598,55.736217
103,267.800016,155.789037
104,269.184227,192.266488
105,270.542217,89.235341
106,270.563556,118.451155
107,270.569987,363.73067
108,270.955229,331.886256
109,272.29714,263.01833
110,300.0,0.0
111,300.0,36.290538
112,300.0,71.630079
113,300.0,103.780705
114,300.0,137.398351
115,300.0,170.559183
116,300.0,205.994354
117,300.0,240.650337
118,300.0,276.042123
119,300.0,311.008765
120,300.0,346.410162
