,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,8.582526788813993e-06,0.002929594987163583,0.0023398485500365496,117.94420623779297,41339.07421875,0.9435895681381226
Validation,8.715209332876839e-06,0.002952153338306945,0.0024543784093111753,20.838512420654297,455.56646728515625,0.9420247077941895
Test,8.569719284423627e-06,0.002927408287961149,0.00234764046035707,393.816650390625,35269.59375,0.9405955672264099
