,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,0.00013209630560595542,0.011493315692434251,0.010227620601654053,396.2537536621094,128444.5546875,0.10563230514526367
Validation,0.00013942034274805337,0.011807639169116466,0.01026868261396885,5322.39453125,509829.15625,0.10989785194396973
Test,0.0001534311886643991,0.012386734382572312,0.011129319667816162,7328.58056640625,703479.875,0.10359412431716919
