metric,value
run_number,11
run_label,trial_11
started_at,2026-06-03T11:34:44
completed_at,2026-06-03T11:34:50
config_batch_size,16
config_dropout,0.1
config_epochs,140
config_hidden_dim,128
config_learning_rate,0.0007
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,11
config_split_random_state,42
config_weight_decay,0.0001
epochs_trained,68
best_epoch,43
best_val_loss,0.0022457463201135397
test_loss,0.0073779672384262085
test_mse,0.007377968169748783
test_mae,0.07106396555900574
test_rmse,0.08589509980056362
test_r2,-0.02022254467010498
