,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,7.252873729157727e-06,0.0026931159888051105,0.0021650921553373337,109.54106140136719,49448.08984375,0.9527032375335693
Validation,9.015351679408923e-06,0.003002557523080769,0.0024038339033722878,42.866233825683594,1914.6202392578125,0.9366090893745422
Test,8.778819392318837e-06,0.0029629072534115607,0.002387336455285549,57.07093811035156,2182.218505859375,0.9386486411094666
