,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,0.0001315565750701353,0.011469811466198356,0.010255970992147923,382.5160827636719,125450.0625,0.10928666591644287
Validation,0.00013650840264745057,0.011683681040128175,0.010205637663602829,5028.12890625,481420.59375,0.12848860025405884
Test,0.00015279414947144687,0.012360993061702076,0.011151614598929882,7061.767578125,678005.625,0.10731595754623413
