,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,5.929259714321233e-06,0.002435007128186945,0.001964253606274724,33.0861930847168,6660.728515625,0.9598554968833923
Validation,8.879565029928926e-06,0.0029798599010572506,0.002353252610191703,66.55847930908203,3473.177734375,0.9433101415634155
Test,7.908673978818115e-06,0.0028122364727771586,0.0022441043984144926,499.7972717285156,47207.3828125,0.9537943601608276
