epoch,train_loss,val_loss,val_mae,val_r2
1,0.7137002878718905,0.6189268529415131,0.7839488983154297,-288.3832092285156
2,0.5647519065274132,0.4415667802095413,0.6614208221435547,-205.31092834472656
3,0.30391502959860694,0.10862031579017639,0.3243027627468109,-49.520774841308594
4,0.17751244041654798,0.0029044634429737926,0.04526223614811897,-0.42049264907836914
5,0.14031218013001812,0.032596067525446415,0.17167583107948303,-14.068573951721191
6,0.0846715002424187,0.025503849610686302,0.14981628954410553,-10.773360252380371
7,0.09467270556423399,0.041782721877098083,0.19652032852172852,-18.342529296875
8,0.1016742301483949,0.01154105318710208,0.0927804559469223,-4.307742595672607
9,0.08143054569760959,0.023145552724599838,0.14179189503192902,-9.678654670715332
10,0.07209352755712138,0.03317304793745279,0.1734161227941513,-14.336784362792969
11,0.09712022294600804,0.015480756293982267,0.11188990622758865,-6.127068042755127
12,0.07313770004030731,0.0049369410844519734,0.05786578357219696,-1.2799005508422852
13,0.07318927616708809,0.02056159684434533,0.1325533092021942,-8.480094909667969
14,0.06657896770371331,0.031720819883048534,0.16930313408374786,-13.662076950073242
15,0.06167153631233507,0.006665959255769849,0.06710020452737808,-2.066319465637207
16,0.06129754107031557,0.012016877997666597,0.09560735523700714,-4.526156425476074
17,0.056936915756927595,0.021332073025405407,0.135553777217865,-8.83721923828125
18,0.0865701333516174,0.009374441346153617,0.08106347918510437,-3.3082222938537598
19,0.06843801774084568,0.006826621713116765,0.06776484102010727,-2.1388440132141113
