metric,value
run_number,1
run_label,trial_01
started_at,2026-06-03T11:31:41
completed_at,2026-06-03T11:31:57
config_batch_size,8
config_dropout,0.0
config_epochs,140
config_hidden_dim,32
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,11
config_split_random_state,42
config_weight_decay,0.0
epochs_trained,140
best_epoch,133
best_val_loss,0.0022113046143203974
test_loss,0.007254423340782523
test_mse,0.00715489499270916
test_mae,0.06904982030391693
test_rmse,0.08458661237281677
test_r2,0.010623931884765625
