node_id,x,y
0,0.0,0.0
1,0.0,34.568254
2,0.0,69.316167
3,0.0,104.004979
4,0.0,138.604256
5,0.0,173.122471
6,0.0,207.916987
7,0.0,242.609478
8,0.0,277.113505
9,0.0,311.650255
10,0.0,346.410162
11,29.867837,259.805454
12,29.872689,225.280373
13,29.888679,294.500926
14,29.899784,17.320508
15,29.936614,51.869785
16,29.960665,121.297968
17,29.983086,190.540304
18,29.983232,155.981928
19,30.05578,329.220078
20,30.124475,86.693264
21,30.125757,363.73067
22,59.875525,311.843726
23,60.017914,346.410162
24,60.018155,0.0
25,60.029012,103.990987
26,60.037687,138.565474
27,60.066688,242.61292
28,60.071977,277.1408
29,60.096748,173.332926
30,60.111158,34.744051
31,60.115656,207.958267
32,60.138083,69.296697
33,89.873188,225.099762
34,89.90809,294.42253
35,89.981651,17.320508
36,89.982206,259.935922
37,89.990103,51.913517
38,90.031338,121.291118
39,90.058597,190.653464
40,90.072409,329.165427
41,90.089187,363.73067
42,90.105433,155.877633
43,90.115016,86.537958
44,119.875714,207.824932
45,119.895483,277.239189
46,119.917079,242.409963
47,119.970843,138.595697
48,119.973703,104.05025
49,120.001885,173.080749
50,120.006418,346.410162
51,120.053475,311.872038
52,120.054163,0.0
53,120.104319,69.34687
54,120.108813,34.661139
55,149.869284,294.452746
56,149.919631,52.012361
57,149.937708,155.796886
58,149.940303,190.42709
59,149.997886,259.683809
60,149.998933,329.149349
61,150.031522,363.73067
62,150.044808,86.677714
63,150.051288,121.108814
64,150.073036,17.320508
65,150.073146,225.248883
66,179.86615,173.210516
67,179.874445,277.130677
68,179.899256,311.817623
69,179.899461,346.410162
70,179.908872,34.646914
71,179.909738,242.524427
72,179.929826,103.951871
73,179.984268,138.611747
74,179.993606,207.806543
75,180.037543,69.29559
76,180.13806,0.0
77,209.899559,363.73067
78,209.949078,121.34954
79,209.952499,156.017969
80,209.961177,17.320508
81,209.96135,52.041209
82,209.969326,329.173669
83,209.970996,259.900903
84,209.982927,225.274005
85,210.007757,294.552689
86,210.013699,86.593372
87,210.100325,190.536222
88,239.884779,173.086439
89,239.889953,0.0
90,239.901692,277.059766
91,239.91199,34.706946
92,239.960472,242.489191
93,239.969893,69.316549
94,240.029062,138.678773
95,240.035717,207.715715
96,240.08704,311.787012
97,240.124058,104.049551
98,240.135448,346.410162
99,269.904135,121.200077
100,269.910418,86.653626
101,269.98124,259.713768
102,269.999152,329.011116
103,270.002045,155.812531
104,270.021449,51.836747
105,270.028354,190.436581
106,270.041759,225.258567
107,270.103385,294.581873
108,270.105671,17.320508
109,270.137937,363.73067
110,300.0,0.0
111,300.0,34.644122
112,300.0,69.26448
113,300.0,103.812061
114,300.0,138.653888
115,300.0,173.303606
116,300.0,207.724173
117,300.0,242.559619
118,300.0,277.175986
119,300.0,311.842304
120,300.0,346.410162
