,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2,Bias
Train,7.665296834602486e-06,0.0027686272473199575,0.0021905696485191584,106.37267303466797,47346.8671875,0.9488943219184875,-0.0004490058636292815
Validation,7.670594641240314e-06,0.0027695838389982554,0.002272915793582797,19.710769653320312,359.8507080078125,0.9449194669723511,-0.00015569575771223754
Adaptation_Train,7.5525485954131e-06,0.002748190058095164,0.0023783124051988125,6.738102912902832,19.206567764282227,0.2978740930557251,0.00032665248727425933
Adaptation_Validation,4.78115543955937e-06,0.0021865853378177057,0.0019752278458327055,5.176327705383301,8.42653751373291,0.24029231071472168,-0.00067119300365448
OOD_Evaluation,5.286501163936919e-06,0.002299239257653913,0.0019403548212721944,5.295573711395264,15.405458450317383,0.36155396699905396,-2.951297938125208e-05
Prediction,1.007739410852082e-05,0.0031744911574173302,0.0026840518694370985,7.450745582580566,19.08314323425293,0.37641656398773193,-0.0019862768240273
