,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,8.423942745139357e-06,0.0029024029260492686,0.002318641170859337,72.21138000488281,24572.990234375,0.9442856311798096
Validation,1.0404606655356474e-05,0.003225617251838239,0.0026522078551352024,28.899763107299805,641.3018798828125,0.927269697189331
Test,1.0328089047106914e-05,0.003213734439418869,0.002554234815761447,1525.890625,147921.5625,0.9350506067276001
