metric,value
run_number,2
run_label,trial_02
started_at,2026-06-03T11:31:57
completed_at,2026-06-03T11:32:19
config_batch_size,8
config_dropout,0.1
config_epochs,140
config_hidden_dim,32
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05
epochs_trained,140
best_epoch,127
best_val_loss,0.002265546878334135
test_loss,0.007222233340144157
test_mse,0.007116890978068113
test_mae,0.06801800429821014
test_rmse,0.08436166770558838
test_r2,0.01587909460067749
