,MSE,RMSE,MAE,Mean Relative Error (%),Max Relative Error (%),R2
Train,7.668876605748665e-06,0.0027692736603211797,0.0022376354318112135,33.3564338684082,2401.576171875,0.9480773210525513
Validation,9.443652743357234e-06,0.0030730526750053005,0.002434258349239826,35.82342529296875,947.3932495117188,0.9397088289260864
Test,7.725137948000338e-06,0.0027794132380774793,0.00216697552241385,738.1674194335938,69796.0078125,0.9548667073249817
