field,value
run_number,6
run_label,trial_06
started_at,2026-06-03T11:33:50
completed_at,2026-06-03T11:34:00
epochs_trained,67
best_epoch,42
best_val_loss,0.0023541470000054687
model_path,C:\Users\alexg\Downloads\NSF-REU-Summer-26\active_projects\mock_gnn_workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_06\best_model.pt
config_batch_size,4
config_dropout,0.0
config_epochs,140
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05

