epoch,train_loss,val_loss,val_mae,val_r2
1,0.9111555616060892,0.6456705033779144,0.800317645072937,-300.6234436035156
2,0.285579025797132,0.017230557394213974,0.11571134626865387,-7.418808937072754
3,0.03047919223899953,0.014740046812221408,0.1033267006278038,-5.751706123352051
4,0.010752152916716618,0.006059446226572618,0.06593132764101028,-2.0080485343933105
5,0.006175847271353834,0.005252761242445558,0.06112674996256828,-1.436110019683838
6,0.00651321769045252,0.003981827496318147,0.053528595715761185,-0.9596761465072632
7,0.006186729054509972,0.0036054560623597354,0.052208222448825836,-0.7389395236968994
8,0.005965948868025508,0.0035088108852505684,0.05126011371612549,-0.6923784017562866
9,0.0057757509930524975,0.0034206122218165547,0.05044009909033775,-0.6451815366744995
10,0.006035980994864885,0.0038905859692022204,0.05197739601135254,-0.815697193145752
11,0.005563067550408757,0.0032493082981090993,0.04844749718904495,-0.5654524564743042
12,0.0063351376544839395,0.005562847916735336,0.0635114386677742,-1.7421009540557861
13,0.005913548433454707,0.0034430636442266405,0.04933498799800873,-0.6078672409057617
14,0.0054744726124530034,0.003297721326816827,0.048358503729104996,-0.5409520864486694
15,0.0055918459677033955,0.004325446905568242,0.05437624081969261,-0.9788211584091187
16,0.0064796452319973875,0.0049907967913895845,0.057855963706970215,-1.2718358039855957
17,0.007614301284775138,0.0028704920114250854,0.04497353732585907,-0.362695574760437
18,0.005255247809044603,0.003857372226775624,0.053366769105196,-0.8841197490692139
19,0.005942944152694609,0.0028549230191856623,0.044591810554265976,-0.330111026763916
20,0.005060131511224124,0.0028181340894661844,0.0442570298910141,-0.30826616287231445
21,0.004995605753113826,0.0032365628867410123,0.046282052993774414,-0.4771806001663208
22,0.0050235748704936765,0.002767109399428591,0.043762803077697754,-0.2763916254043579
23,0.004886854860362493,0.003484449058305472,0.04718514531850815,-0.5789378881454468
24,0.0053931565424944795,0.002597607919597067,0.04226969927549362,-0.22442567348480225
25,0.005016459992879795,0.0029606321404571645,0.045478470623493195,-0.4198230504989624
26,0.005029546704867648,0.00351445545675233,0.04693807289004326,-0.5849884748458862
27,0.00504363422967597,0.004636755445972085,0.0548926442861557,-1.0843656063079834
28,0.0060891138337966465,0.0050516214687377214,0.05742271617054939,-1.2711451053619385
29,0.006121836917979333,0.003480802522972226,0.04640106111764908,-0.5663436651229858
30,0.005172863502391717,0.005435899016447365,0.05951245501637459,-1.443558931350708
31,0.005288853044880347,0.0029094225319568068,0.043146148324012756,-0.314683198928833
32,0.006376534713328713,0.004297973704524338,0.052430469542741776,-0.9271658658981323
33,0.004860013257712126,0.0026542138439253904,0.04172423854470253,-0.25546789169311523
34,0.005225075285933498,0.002471413812600076,0.04169788211584091,-0.12925362586975098
35,0.0049741940262417,0.004188069666270167,0.05153774097561836,-0.8748219013214111
36,0.005706351146929794,0.002406270257779397,0.04123019799590111,-0.10594451427459717
37,0.00574556182578413,0.006349515053443611,0.06424875557422638,-1.8538527488708496
38,0.0059025824949559234,0.002540459332522005,0.04055903106927872,-0.19283318519592285
39,0.004857863040847911,0.005053849599789828,0.05683409050107002,-1.2621080875396729
40,0.005524944323244401,0.002725407190155238,0.04194576293230057,-0.2249218225479126
41,0.004594173683370981,0.003114420222118497,0.04273812845349312,-0.3914639949798584
42,0.0048407483134522205,0.0023541470000054687,0.04051164537668228,-0.0820239782333374
43,0.005104336538352072,0.0038446506951004267,0.0487133264541626,-0.715050220489502
44,0.005174724305915233,0.002359425423492212,0.04042620584368706,-0.08690404891967773
45,0.005043325758176959,0.0023565110823255964,0.04016096517443657,-0.08696985244750977
46,0.0050893008592538536,0.0034221666792291217,0.04896954074501991,-0.6359872817993164
47,0.005272307303837604,0.0024711147125344723,0.04101633280515671,-0.11358249187469482
48,0.0053121494339494445,0.0036935207608621567,0.050795502960681915,-0.7705470323562622
49,0.005877186874082933,0.005627915728837252,0.0644630566239357,-1.713374376296997
50,0.0069551503111142665,0.007314085611142218,0.07486780732870102,-2.5292837619781494
51,0.008058307032721737,0.0071578771458007395,0.07366976886987686,-2.4574601650238037
52,0.008506734635577433,0.007342512486502528,0.07474654167890549,-2.547466993331909
53,0.006389573494541562,0.0026470790362509433,0.041761092841625214,-0.24985790252685547
54,0.005290390186322232,0.0026822537256521173,0.042150694876909256,-0.268643856048584
55,0.005023349645651049,0.0024579936216468923,0.04039812833070755,-0.14752721786499023
56,0.00486597389034513,0.0023847801639931276,0.040586695075035095,-0.10284090042114258
57,0.005111541676645477,0.0027076504193246365,0.04185345023870468,-0.21684789657592773
58,0.005504422057937417,0.002373119452386163,0.0405140146613121,-0.09564352035522461
59,0.004850503021670092,0.0050666150636971,0.056945402175188065,-1.2682437896728516
60,0.005814806732814759,0.0024589745880803093,0.041374802589416504,-0.11671030521392822
61,0.004729405689027367,0.0028470346878748387,0.04201551899313927,-0.275437593460083
62,0.005102393932045541,0.0028212674405949656,0.04376771301031113,-0.33665192127227783
63,0.006336085905786604,0.0024382065384997986,0.04015631601214409,-0.13578855991363525
64,0.004961562038968421,0.002573906967882067,0.041572459042072296,-0.16064202785491943
65,0.0047127968557308325,0.0047313825925812125,0.054903704673051834,-1.1155025959014893
66,0.005278585763234232,0.0023564268922200426,0.04061780869960785,-0.07597970962524414
67,0.004509087713409422,0.003140174834697973,0.04666845127940178,-0.495638370513916
