metric,value
run_number,6
run_label,trial_06
started_at,2026-06-03T11:33:50
completed_at,2026-06-03T11:34:00
config_batch_size,4
config_dropout,0.0
config_epochs,140
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05
epochs_trained,67
best_epoch,42
best_val_loss,0.0023541470000054687
test_loss,0.007742471876554191
test_mse,0.007392771076411009
test_mae,0.070999875664711
test_rmse,0.08598122513904422
test_r2,-0.022269487380981445
